parameters,p_cit,p_TassocL,p_TassocGgvnL,p_GassocLgvnT,p_LindTgvnG,CIT_final_call,,p_L->A,p_L->B,"diff(B|A,B|A,L)",spearman,pearson,final_call
0.1_0.1,0.768999945950946,0.550044612251934,0.321633011966246,0.0187174760320308,0.768999945950946, , ,0.06,0.08,0.63,-0.0288636288636288,-0.0299019098850637, 
0.1_0.2,0.999130031524941,0.999130031524941,0.388332873237792,0.0936405848107286,0.68024756713604, , ,0.25,0.89,0.69,-0.0191173631173631,-0.0272853351582765, 
0.1_0.3,0.490429256210657,0.361665934910631,0.203741358274445,0.490429256210657,0.159749350458571, , ,0.55,0.13,0.66,0.0499176379176379,0.0408822620464205, 
0.1_0.4,0.875666838160359,0.327803440109073,0.0009456161766416,0.875666838160359,0.687276070356372, , ,0.19,0.14,0.47,0.1007088887088887,0.1043461387058361, 
0.1_0.5,0.764730025358904,0.57302127443127,0.764730025358904,0.580747553774472,0.456685762685006, , ,0.9,0.09,0.75,0.0287444447444447,0.0097925358727261, 
0.1_0.6,0.640936988339478,0.511172395726437,0.640936988339478,0.212587753606945,0.435704985419167, , ,0.47,0.78,0.91,0.0284040164040164,0.0155861774865122, 
0.1_0.7,0.901895979055377,0.871122780735374,0.901895979055377,0.871115346639294,0.499290325501808, , ,0.32,0.43,0.98,0.0273774993774993,-0.0038784573437857, 
0.1_0.8,0.760610108179167,0.591052061591189,0.22857108293793,0.445537860051709,0.760610108179167, , ,0.51,0.65,0.39,-0.0238217038217038,-0.0377124452130493, 
0.1_0.9,0.786941649264021,0.628730036782754,0.295888429275594,0.468694883254867,0.786941649264021, , ,0.72,0.57,0.93,0.0425438585438585,0.0327482786811897, 
0.1_1,0.95019214177666,0.0389729415281245,0.95019214177666,0.796310328537568,0.543256762693529, , ,0.96,0.09,0.15,0.0472220272220272,0.0025180159076151, 
0.1_3,0.885771463775471,0.720298800731809,0.186165313336694,0.885771463775471,0.462125724435339, , ,0.94,0.73,1.0,0.0175501135501135,-0.0419142836578631, 
0.2_0.1,0.578084229702305,0.411809621469898,0.578084229702305,0.425841050101383,0.351495425930442, , ,0.43,0.59,0.51,0.0233092913092913,0.0182731694914092, 
0.2_0.2,0.774291773584556,0.353531783708136,0.547544382958106,0.208917585749789,0.774291773584556, , ,0.5,0.4,0.15,-0.0183713583713583,-0.0178756226784398, 
0.2_0.3,0.687782890099122,0.431487102146046,0.687782890099122,0.275540633910163,0.633458863896924, , ,0.19,0.69,0.36,-0.0005947925947925,0.011866226207534, 
0.2_0.4,0.913811145731805,0.84987492239352,0.0445957521714955,0.465741871373937,0.913811145731805, , ,0.7,0.59,0.07,-0.0669272949272949,-0.0634063982405346, 
0.2_0.5,0.9732580855058,0.9732580855058,0.625399472546169,0.650088954477631,0.391815939192239, , ,0.89,0.57,0.48,-0.0046745806745806,-0.0154784502998231, 
0.2_0.6,0.804133353820504,0.804133353820504,0.579244197181712,0.0077181307552781,0.274954372711117, , ,0.0,0.6,0.56,-0.0122076842076842,-0.0181632315822631, 
0.2_0.7,0.926934637788216,0.652420530860176,0.926934637788216,0.252504475656141,0.613738764034596, , ,0.27,0.86,0.8,0.0191732231732231,0.0023865564776181, 
0.2_0.8,0.930904281866439,0.36793227412089,0.0653638655600069,0.0659375850653728,0.930904281866439, , ,0.02,0.62,1.0,0.0719069999069999,0.0565994983700369, 
0.2_0.9,0.796589758300922,0.725199470413128,0.248759686348625,0.796589758300922,0.568785894789602, , ,0.1,0.78,0.14,-0.0112357552357552,-0.0364348182312385, 
0.2_1,0.95843221852293,0.95843221852293,0.034244901537217,0.0049518267515734,0.937748206065652, , ,0.04,0.25,0.77,0.0926526806526806,0.0665838053988621, 
0.2_3,0.758201434869936,0.709060727434867,0.411763643833982,0.0121983755009628,0.758201434869936, , ,0.0,0.77,0.0,0.0597903717903718,0.0249813551791005, 
0.3_0.1,0.89381501584548,0.89381501584548,0.16842726377553,0.0034323992150177,0.869691293522484, , ,0.02,0.74,0.28,-0.0366194886194886,-0.0430328994423082, 
0.3_0.2,0.846327638622991,0.486166812361752,0.191102047361902,0.846327638622991,0.415080070437185, , ,0.98,0.37,0.96,-0.0476005316005316,-0.0415403689704537, 
0.3_0.3,0.966443060813764,0.0728143264309871,0.737415281118293,0.966443060813764,0.568098856848938, , ,1.0,0.0,0.18,0.014076566076566,0.0107136129571842, 
0.3_0.4,0.788265238742251,0.684204332586375,0.412438801659605,0.0025677619071166,0.788265238742251, , ,0.01,0.79,0.4,-0.0048559728559728,-0.024617328501993, 
0.3_0.5,0.21518703331938,0.21518703331938,0.0992997403319863,0.0465539549094214,0.0468499791168817, , ,0.07,0.4,0.44,0.0635319035319035,0.0545772964154778, 
0.3_0.6,0.987839956251083,0.763627336242794,0.19598211631179,0.987839956251083,0.525559791129652, , ,0.95,0.73,0.02,-0.0234105834105834,-0.0409427254480356, 
0.3_0.7,0.58636302464886,0.391986939564855,0.503990698417624,0.283845380904105,0.58636302464886, , ,0.48,0.37,0.57,0.0114708954708954,-0.0202418900396316, 
0.3_0.8,0.904825620258868,0.142583909072999,0.571800441561669,0.904825620258868,0.532298303180083, , ,0.88,0.15,0.1,0.0114591474591474,-0.0177528346530898, 
0.3_0.9,0.720074473960084,0.720074473960084,0.541393810819925,0.0262811779320347,0.344840574043123, , ,0.04,0.88,0.03,0.0347846627846627,0.0200949638629911, 
0.3_1,0.71424040415661,0.14447397346532,0.71424040415661,0.568340327315958,0.48362156496298, , ,0.8,0.06,0.21,-0.0117719997719997,-0.0124448832273997, 
0.3_3,0.647782862746005,0.209404943138922,0.533874981313882,0.647782862746005,0.35600217460347, , ,0.85,0.5,0.96,0.0594368514368514,0.0202936944872472, 
0.4_0.1,0.924636488650669,0.924636488650669,0.666402584581435,0.0978296522997221,0.40495790511148, , ,0.23,0.48,0.68,0.0121416961416961,0.0137937777415907, 
0.4_0.2,0.920162150416562,0.364981076101636,0.920162150416562,0.0031029792842113,0.580119179253667, , ,0.0,0.38,0.29,-0.002082914082914,-0.0004806693712335, 
0.4_0.3,0.436357494446633,0.436357494446633,0.155926840707683,0.0143021248998495,0.122444392923617, , ,0.03,0.47,0.64,0.0514663234663234,0.0467083350999149, 
0.4_0.4,0.91737991818612,0.155178575672864,0.316713783482943,0.91737991818612,0.488493978690338, , ,0.81,0.17,0.98,-0.0155164355164355,-0.0318890480796185, 
0.4_0.5,0.959334058669519,0.588389495398336,0.959334058669519,0.0017535753480124,0.429138981950126, , ,0.0,0.8,0.39,0.0102448542448542,-0.0033019765574773, 
0.4_0.6,0.826765953576735,0.0033160523750688,0.169395904064757,0.826765953576735,0.517612102005784, , ,0.9,0.01,0.06,0.0536218736218736,0.043052865188524, 
0.4_0.7,0.840013379708825,0.717651811986199,0.1892921635458,0.100007816466894,0.840013379708825, , ,0.32,0.77,0.71,0.0488519888519888,0.0409170977590195, 
0.4_0.8,0.91842808131545,0.492033809082377,0.139512873999542,0.0047762967990953,0.91842808131545, , ,0.02,0.77,0.98,0.047056787056787,0.0446724041850996, 
0.4_0.9,0.982095428132911,0.982095428132911,0.187269737875257,0.0289871617722754,0.770870778982837, , ,0.09,0.78,0.6,-0.0185599745599745,-0.041607305656182, 
0.4_1,0.759716731128389,0.0879337844673896,0.759716731128389,0.0563101547484097,0.451195078489652, , ,0.1,0.01,0.35,0.0231990711990712,0.0129505379907514, 
0.4_3,0.84200207245443,0.475303854193646,0.0771036033427916,0.252395335305135,0.84200207245443, , ,0.51,0.61,0.93,0.0992647592647592,0.0551172121791208, 
0.5_0.1,0.978894285265472,0.928606539438618,0.978894285265472,0.0010450845601989,0.558420573651606, , ,0.0,0.99,0.86,0.0131503211503211,0.0005397472631504, 
0.5_0.2,0.913048783996441,0.665676461181705,0.15012304637895,0.000240309558541,0.913048783996441, , ,0.0,0.01,0.36,-0.0535464775464775,-0.0436804155143454, 
0.5_0.3,0.872757057607257,0.562101219257349,0.872757057607257,0.0002802632844262,0.463720966638265, , ,0.01,0.25,1.0,-0.0034246474246474,0.0071463322068393, 
0.5_0.4,0.498831580268307,0.498831580268307,0.492162344532916,0.0599152085523858,0.227603074918479, , ,0.11,0.78,0.61,0.0317210237210237,0.0229971197334922, 
0.5_0.5,0.40505400383929,0.40505400383929,0.236734477572355,0.127405751425192,0.168951061764836, , ,0.32,0.81,0.96,0.0587397347397347,0.0387073799320094, 
0.5_0.6,0.913566281008513,0.1850305590893,0.913566281008513,0.0122720647950659,0.510016879307527, , ,0.03,0.31,0.35,0.0271579831579831,0.006755851869116, 
0.5_0.7,0.942040030500016,0.884334848607941,0.942040030500016,0.0031768163054642,0.592615564119463, , ,0.0,0.81,0.17,-0.0026363066363066,-0.0027227063825391, 
0.5_0.8,0.882772551816925,0.882772551816925,0.802492484129788,0.251483909675242,0.589914488102075, , ,0.37,0.83,0.01,0.0257979137979138,0.007748653891373, 
0.5_0.9,0.977800968135607,0.803259215852799,0.0795503595184743,0.0001789281014593,0.977800968135607, , ,0.0,0.86,0.75,-0.0195237555237555,-0.0541831401135893, 
0.5_1,0.394810885322859,0.394810885322859,0.310319710687446,0.0129182212117242,0.0604978814978209, , ,0.02,0.15,0.17,0.0557642717642717,0.0341585549698827, 
0.5_3,0.727745085258617,0.423132101816662,0.727745085258617,0.0233875696073744,0.393345787833287, , ,0.08,0.64,0.99,0.0549432669432669,0.01282177294172, 
