p_cit,p_TassocL,p_TassocGgvnL,p_GassocLgvnT,p_LindTgvnG,CIT_final_call,,p_L->A,p_L->B,"diff(B|A,B|A,L)",final_call
0.99999671928139,0.526751540166998,1.4514166771364898e-42,3.0250598719072997e-13,0.99999671928139, , ,0.0,0.87,0.94, 
0.770998199751332,0.770998199751332,3.15444855347678e-05,4.327070792865e-06,0.654043790391803, , ,0.0,0.98,0.9, 
0.160258184185963,0.0137233579640908,0.147843942552166,0.0002326002766734,0.160258184185963, , ,0.03,0.01,0.7, 
0.86429596970497,0.304704451117218,0.86429596970497,2.9398626352195098e-71,0.735531779116107, , ,0.0,0.59,0.45, 
0.999991931251477,0.797223057126697,4.16582197952382e-12,2.05154715965615e-34,0.999991931251477, , ,0.0,0.74,0.58, 
0.999999999923194,0.709818916440046,2.8936959305122197e-29,6.825035478234979e-36,0.999999999923194, , ,0.0,0.83,0.56, 
0.999998372558293,0.0004894629109926,5.30511753015078e-06,3.29512951300869e-58,0.999998372558293, , ,0.0,0.03,0.98, 
1.0,0.0856202004192682,5.14612378923209e-34,0.000542499286847,1.0, , ,0.01,0.17,0.89, 
0.999989903964981,0.0448757345993804,0.0001486690026052,3.88422727653258e-13,0.999989903964981, , ,0.0,0.18,0.47, 
0.999648892294472,0.0935071734166719,7.35230981635485e-23,1.48536035064939e-56,0.999648892294472, , ,0.0,0.39,0.52, 
0.988891383185805,0.053665572941009,0.0246637313265521,2.05613186546932e-59,0.988891383185805, , ,0.0,0.46,0.81, 
0.952527438701011,0.512979080304073,5.63453171802839e-23,4.31966018576295e-07,0.952527438701011, , ,0.0,0.74,0.38, 
1.0,0.111579661061253,1.5994454774700201e-15,1.36574689594459e-05,1.0, , ,0.0,0.26,0.45, 
0.99929287629657,0.804227261277838,0.0017659842434898,0.0,0.99929287629657, , ,0.0,0.75,0.06, 
0.624565081452181,0.520172197223786,0.624565081452181,0.0,0.214231103063905, , ,0.0,0.82,0.4, 
0.994499831453001,0.681128328235466,5.07790832571911e-07,2.73701940859611e-34,0.994499831453001, , ,0.0,0.73,0.88, 
1.0,0.255622601864008,1.06527006587891e-68,0.0002305490882286,1.0, , ,0.0,0.64,0.24, 
0.999908559734662,0.0212187183496968,0.0012779306609064,3.73325396439463e-05,0.999908559734662, , ,0.0,0.08,0.03, 
0.880949933859223,0.272225126770223,0.880949933859223,0.0064857346337805,0.52398152129358, , ,0.0,0.16,0.38, 
0.745722817341933,0.569244444847985,0.745722817341933,0.0,0.0200155062012718, , ,0.0,0.81,0.68, 
0.296823039280661,0.296823039280661,3.36067971234635e-28,1.03589663698113e-06,0.0332326867586744, , ,0.0,0.45,0.6, 
0.672229353990798,0.165106144600629,0.672229353990798,0.000398965422359,0.346801048560496, , ,0.0,0.22,0.31, 
0.999992821311928,0.487011526279666,1.8590653446112e-06,2.06144662065239e-06,0.999992821311928, , ,0.0,0.6,0.45, 
0.999999951816459,0.132043855092887,1.29818370830901e-07,7.78148321756204e-36,0.999999951816459, , ,0.0,0.12,0.51, 
0.730242545597065,0.012783298507444,0.730242545597065,4.8465737114877595e-262,0.230045301385072, , ,0.0,0.01,0.57, 
0.447238103060309,0.419871944427086,0.447238103060309,0.0003957650238656,0.215684529829899, , ,0.0,0.44,0.42, 
0.873351774311806,0.568348509403081,0.163752748551496,0.0,0.873351774311806, , ,0.0,0.06,0.28, 
0.999869791591186,0.358937662478747,3.87896005967873e-05,6.86503844872522e-05,0.999869791591186, , ,0.01,0.64,0.99, 
0.691847308088999,0.691847308088999,0.472684647968483,3.27826594676664e-16,0.186687767328341, , ,0.0,0.96,0.93, 
