p_cit,p_TassocL,p_TassocGgvnL,p_GassocLgvnT,p_LindTgvnG,CIT_final_call,,p_L->A,p_L->B,"diff(B|A,B|A,L)",final_call
0.0931238605822534,0.0931238605822534,2.04241489684973e-23,0.000105723480304,4.70945264215316e-27, , ,0.0,0.58,0.2, 
0.999999888221866,0.650841775469199,5.368844071478111e-15,1.87722078772739e-07,0.999999888221866, , ,0.0,0.4,0.79, 
0.974926648744293,0.351732034139393,0.0624925599606774,1.69897645147021e-13,0.974926648744293, , ,0.0,0.45,0.33, 
0.356104459463703,0.356104459463703,0.304590063235589,1.01148229072145e-77,0.15833654066183, , ,0.0,0.8,0.5, 
0.136407429926722,0.0827034570263628,1.66994292223802e-06,1.75821533229161e-65,0.136407429926722, , ,0.0,0.18,0.12, 
0.999999979124865,0.728246459234256,1.15111323950967e-40,3.57569615637123e-13,0.999999979124865, , ,0.0,0.79,0.96, 
0.0101993467983277,0.0101993467983277,2.99498007414936e-33,1.8342124480523e-14,5.06352277198675e-15,causal, ,0.0,0.07,0.57, 
1.0,0.973490154459329,6.020541203836359e-36,1.8381576604334e-287,1.0, , ,0.0,0.95,1.0, 
0.632469574593009,0.632469574593009,1.44732492743477e-05,1.72054592144191e-05,0.0017678541415812, , ,0.04,0.76,0.17, 
0.97321144228144,0.0019787621652465,0.97321144228144,4.4881691770592096e-114,0.525251006974513, , ,0.0,0.0,0.59, 
0.291084528281712,0.177594455730533,0.16874235539574,9.01613981547932e-263,0.291084528281712, , ,0.0,0.14,0.88, 
0.465387586856093,0.0089000062859767,0.465387586856093,3.76620519002879e-06,0.245219959638124, , ,0.0,0.0,0.69, 
1.0,0.045745082682857,1.0189041117607199e-29,1.05877688395375e-07,1.0, , ,0.07,0.05,0.31, 
0.963419744786107,0.110764671754325,1.97675715086576e-26,7.0833174449074295e-28,0.963419744786107, , ,0.0,0.21,0.88, 
0.468114851273944,0.468114851273944,0.000237750654684,0.0004630117861358,8.75753335636336e-07, , ,0.0,0.75,0.54, 
1.0,0.160752356602613,8.82442097942682e-26,4.97024063957328e-07,1.0, , ,0.07,0.39,0.24, 
0.831937423747103,0.666397408448345,0.0280129409908949,2.85020889707131e-89,0.831937423747103, , ,0.0,0.27,1.0, 
0.999973232411997,0.258333227341422,1.15643941160885e-07,6.62388785067532e-17,0.999973232411997, , ,0.0,0.52,0.28, 
