YBL005W
YBR083W
YBR239C
YCR065W
YCR084C
YDL020C
YDL056W
YDL170W
YDR207C
YDR213W
YDR216W
YDR253C
YDR259C
YDR310C
YDR421W
YDR423C
YDR451C
YDR463W
YEL009C
YER045C
YER184C
YFL021W
YFR034C
YGL013C
YGL035C
YGL071W
YGL096W
YGL166W
YGL237C
YGL252C
YGR044C
YHL009C
YHL020C
YHL027W
YHR124W
YHR178W
YHR206W
YIL101C
YIL131C
YIR017C
YIR033W
YJL056C
YJR060W
YJR094C
YJR127C
YKL015W
YKL038W
YKL043W
YKL109W
YKL112W
YKL185W
YKR034W
YLR014C
YLR098C
YLR131C
YLR403W
YML007W
YML027W
YML099C
YMR016C
YMR019W
YMR021C
YMR043W
YMR164C
YMR182C
YNL027W
YNL068C
YNL199C
YNL216W
YNL314W
YOL067C
YOL089C
YOR032C
YOR113W
YOR140W
YOR363C
YPL038W
YPL133C
YPL248C
YPR008W
