YAL027W
YAL019W
YAL022C
YAL011W
YAL013W
YAL009W
YAL003W
YAL010C
YAL008W
YAL012W
YAR002C-A
YAR002W
YAR008W
YAR003W
YAR010C
YAR009C
YAR015W
YAR018C
YAR019C
YAR020C
YAR023C
YAR029W
YAR035W
YAR042W
YAR050W
YAL062W
YAL060W
YAL056W
YAL055W
YAL054C
YAL049C
YAL047C
YAL042W
YAL038W
YAL044C
YAL039C
YAL040C
YAL033W
YAL032C
YAL029C
YAL020C
YAL028W
YBL049W
YBL035C
YBL051C
YBL052C
YBL039C
YBL040C
YBL047C
YBL044W
YBL043W
YBL041W
YBL039W-B
YBL038W
YBL036C
YBL033C
YBL030C
YBL029C-A
YBL025W
YBL029W
YBL028C
YBL010C
YBL024W
YBL020W
YBL019W
YBL018C
YBL105C
YBL017C
YBL016W
YBL015W
YBL011W
YBL014C
YBL007C
YBL006C
YBL005W
YBR001C
YBL008W
YBL106C
YBR007C
YBR003W
YBR008C
YBR013C
YBR014C
YBL098W
YBL102W
YBR012C
YBR021W
YBR022W
YBR026C
YBR029C
YBR031W
YBR036C
YBR042C
YBR039W
YBR043C
YBR044C
YBR045C
YBR048W
YBR041W
YBR056W
YBR053C
YBR055C
YBR058C
YBR057C
YBR062C
YBR060C
YBR061C
YBR065C
YBR063C
YBR066C
YBR067C
YBR068C
YBR069C
YBR072W
YBR071W
YBR070C
YBR074W
YBR230C
YBR078W
YBR076C-A
YBR083W
YBL099W
YBR087W
YBR093C
YBR092C
YBR094W
YBR114W
YBR098W
YBR103W
YBR085C-A
YBR105C
YBR111W-A
YBR110W
YBR106W
YBR085W
YBL101C
YBR118W
YBR126W-A
YBR119W
YBR120C
YBR121C
YBR123C
YBR125C
YBR127C
YBR116C
YBR126W-B
YBL091C-A
YBR137W
YBR135W
YBR140C
YBL089W
YBR145W
YBR146W
YBR148W
YBR096W
YBR159W
YBR147W
YBR150C
YBR154C
YBR151W
YBR152W
YBR153W
YBR158W
YBR155W
YBR160W
YBR162C
YBR161W
YBR179C
YBR176W
YBR165W
YBR169C
YBR166C
YBR168W
YBR163W
YBR170C
YBR162W-A
YBR173C
YBR177C
YBR184W
YBR183W
YBR193C
YBR191W
YBR189W
YBR188C
YBR197C
YBR196C-A
YBR201C-A
YBR167C
YBR203W
YBR199W
YBR185C
YBR200W
YBR202W
YBR195C
YBR198C
YBR205W
YBR204C
YBR187W
YBR207W
YBL086C
YBR213W
YBR210W
YBR211C
YBR212W
YBR214W
YBR220C
YBR228W
YBR229C
YBL084C
YBR230W-A
YBR233W
YBR236C
YBR235W
YBR234C
YBR237W
YBR239C
YBR246W
YBL082C
YBL081W
YBR249C
YBR260C
YBL079W
YBR261C
YBR270C
YBR271W
YBR269C
YBR274W
YBR275C
YBR272C
YBR273C
YBR281C
YBR283C
YBR286W
YBR288C
YBR291C
YBR284W
YBL080C
YCL012C
YCL014W
YCL011C
YCL009C
YCL002C
YCR004C
YCR008W
YCR009C
YCR018C-A
YCR017C
YCR018C
YCR025C
YCR024C-A
YCL001W
YCR026C
YCR024C
YCR027C
YCL047C
YCR031C
YCR020C-A
YCR035C
YCR033W
YCR041W
YCR037C
YCR040W
YCR039C
YCR051W
YCR052W
YCR060W
YCR064C
YCR065W
YCR071C
YCR075W-A
YCR067C
YCR073C
YCR077C
YCR086W
YCR081W
YCL056C
YCR083W
YCR082W
YCR061W
YCR087C-A
YCR084C
YCR087W
YCR075C
YCR093W
YCR098C
YCR101C
YCR099C
YCR076C
YCL042W
YCL041C
YCL040W
YCL038C
YCL035C
YCL032W
YCL028W
YCL026C-B
YCL026C-A
YCL021W-A
YCL019W
YCL017C
YCL016C
YDR257C
YDR268W
YDR273W
YDR272W
YDR276C
YDR310C
YDR283C
YDR288W
YDR291W
YDL192W
YDL197C
YDL198C
YDR294C
YDR236C
YDR295C
YDR297W
YDR415C
YDR248C
YDR316W
YDR307W
YDR304C
YDR255C
YDR309C
YDR379W
YDR318W
YDR320C-A
YDR320C
YDR321W
YDR323C
YDR331W
YDR333C
YDR339C
YDR338C
YDR341C
YDR342C
YDR351W
YDR349C
YDR352W
YDR356W
YDR354W
YDR357C
YDR375C
YDR365W-B
YDL193W
YDL189W
YDR372C
YDR371W
YDR374W-A
YDL187C
YDR363W
YDR378C
YDR384C
YDR389W
YDR395W
YDR282C
YDR393W
YDR403W
YDR399W
YDR406W
YDR404C
YDR405W
YDR421W
YDR458C
YDR422C
YDR423C
YDR433W
YDR432W
YDR253C
YDR439W
YDR381C-A
YDR440W
YDR452W
YDR441C
YDR443C
YDR447C
YDR444W
YDR445C
YDL180W
YDL170W
YDR463W
YDR451C
YDL181W
YDR461W
YDR461C-A
YDL178W
YDR469W
YDR472W
YDR468C
YDR476C
YDR478W
YDR480W
YDR479C
YDR487C
YDR512C
YDR497C
YDR498C
YDL176W
YDR503C
YDR506C
YDR504C
YDR505C
YDR510W
YDR511W
YDR513W
YDR514C
YDR515W
YDR516C
YDL174C
YDR524C
YDR524C-B
YDR525W-A
YDR529C
YDR530C
YDR531W
YDR533C
YDR539W
YDR541C
YDL173W
YDL168W
YDL169C
YDL167C
YDL166C
YDL164C
YDL156W
YDL056W
YDL160C
YDL157C
YDL158C
YDL154W
YDL159W
YDL155W
YDR346C
YDL051W
YDL150W
YDL146W
YDL095W
YDL147W
YDR292C
YDL144C
YDR041W
YDL143W
YDL141W
YDL139C
YDL138W
YDL133W
YDL241W
YDL135C
YDL134C
YDL132W
YDL137W
YDL127W
YDR195W
YDL160C-A
YDR298C
YDL131W
YDL128W
YDL049C
YDL126C
YDL130W
YDL124W
YDL125C
YDR436W
YDL123W
YDL120W
YDL115C
YDL080C
YDL090C
YDL110C
YDL107W
