"p_cit","p_TL","p_TG","p_GL","p_Lind","childseed","Parentseed"
0.23852664401866,0.23852664401866,0.00106723867183566,0.0769356626695566,0.00264512653769148,1129169723,212383758
1,0.547122203409431,5.50319185149176e-51,0.182353290016603,1,1721746343,212383758
0.289577699013826,0.289577699013826,1.96010341655919e-137,0.267392211334485,8.26013414641479e-302,1836013760,212383758
0.899507710213658,0.666196112919354,1.3418878388234e-272,0.899507710213658,1.27959639319931e-28,656573289,212383758
0.484008313938879,0.484008313938879,0,0.302707286223503,0.0194016838254515,1583258776,212383758
1,0.720251095852132,0,0.337319966530238,1,905936989,212383758
0.363436527651193,0.0820889283503627,0,0.363436527651193,4.43635739733995e-136,554946097,212383758
0.327083973605905,0.179382899597677,0,0.327083973605905,0.0729011771388008,1807701499,212383758
0.836366051906318,0.0301067600944046,0,0.836366051906318,6.5613844144972e-177,1425603316,212383758
0.999999999993464,0.818712462045122,0,0.560270389294273,0.999999999993464,1059995863,212383758
0.407469850279056,0.407469850279056,3.29845550897047e-06,1.3339648625203e-13,0.00302556014804505,937084267,212383758
0.00348681383248708,0.00348681383248708,2.89732705604405e-44,2.53900934653766e-05,2.81291194190298e-37,429950964,212383758
7.51873188313984e-07,5.14446051270202e-10,1.08993672519119e-158,7.51873188313984e-07,6.31731548098774e-93,307581051,212383758
1.30110782327037e-05,2.47716081942323e-09,7.82799427770023e-256,1.30110782327037e-05,1.99303084814909e-113,1608752598,212383758
0.00466964013464585,7.048595648634e-11,0,0.00466964013464585,2.86840348298615e-166,816578913,212383758
0.000637597926185696,3.50514739539557e-17,0,0.000637597926185696,6.05275597985083e-184,311287981,212383758
0.05430341700821,1.1897245971699e-12,0,0.05430341700821,2.89486681739827e-199,522037063,212383758
0.705432391015413,1.08802873717011e-13,0,0.705432391015413,2.24375083423467e-146,1812160028,212383758
0.147906382089554,2.35236683011752e-14,0,0.147906382089554,2.49868387807075e-214,1694112434,212383758
0.748973480602739,7.18321485251903e-11,0,0.748973480602739,2.31672178171698e-162,995143874,212383758
0.664543957282384,0.658624685408276,0.0197826050890839,4.80709900771049e-40,0.664543957282384,823106211,212383758
2.51838080394975e-11,2.51838080394975e-11,1.67334570354949e-48,2.43354823198775e-39,4.48890141883167e-37,1350987393,212383758
1.72869002200075e-19,1.02260336178947e-25,1.51935321248446e-168,1.72869002200075e-19,1.00113124872279e-117,69482962,212383758
3.45975652417311e-18,1.68070614296965e-34,2.91701144071207e-243,3.45975652417311e-18,3.20539703230018e-156,1584893334,212383758
2.44044075846542e-12,2.7434095981506e-42,0,2.44044075846542e-12,6.83979991915118e-160,283107828,212383758
7.54359977307361e-09,5.49210651020067e-42,0,7.54359977307361e-09,7.01262462421325e-226,1341050611,212383758
1.58136827759884e-05,7.27175025010221e-43,0,1.58136827759884e-05,0,1940737135,212383758
0.000655053951879495,1.16650351355978e-41,0,0.000655053951879495,0,1437061133,212383758
0.00357903341140442,1.1697735270634e-44,0,0.00357903341140442,0,2123680782,212383758
0.0503334655412081,1.68694104810676e-39,0,0.0503334655412081,0,973283684,212383758
0.0197034316185345,0.0197034316185345,7.46382987644667e-05,1.92651857578667e-92,0.00450767885552834,1075386493,212383758
2.11572609603849e-33,2.11572609603849e-33,9.37849950336992e-58,4.13016221921638e-74,3.8109314916761e-58,1238275201,212383758
1.04124183000071e-47,2.54922658439871e-52,2.71423501368994e-142,1.04124183000071e-47,9.21491024693211e-194,689413845,212383758
2.93765510255198e-23,1.52525549683242e-90,1.76495176580547e-266,2.93765510255198e-23,1.14073477640733e-276,1471472242,212383758
3.00008941849081e-25,5.64221423158098e-83,0,3.00008941849081e-25,1.27270412055339e-223,899048893,212383758
3.81568922636418e-11,1.39582302032863e-83,0,3.81568922636418e-11,0,1499503522,212383758
3.01245285493696e-14,3.85607523196921e-104,0,3.01245285493696e-14,0,871737794,212383758
2.04817303828095e-06,7.13578197231988e-98,0,2.04817303828095e-06,0,136899081,212383758
0.00135118018243413,5.79653281220877e-92,0,0.00135118018243413,0,1556480036,212383758
0.00114605681358483,2.30016534737641e-87,0,0.00114605681358483,0,252467889,212383758
0.00348942876492576,0.00348942876492576,0.000854418141005293,2.28660578034799e-145,0.00253492825901237,10528599,212383758
1.27554826232577e-40,4.61347875542331e-45,4.67128361124957e-44,2.31198709628231e-117,1.27554826232577e-40,247953686,212383758
2.67723928850973e-63,4.39783873280044e-104,2.43375022540442e-143,2.67723928850973e-63,3.84949805693671e-205,891042670,212383758
9.66673317521653e-46,6.019242835875e-121,3.30186115649294e-255,9.66673317521653e-46,0,1837980517,212383758
2.07040640955713e-26,3.63428408793438e-117,0,2.07040640955713e-26,6.68982784352363e-301,1588108463,212383758
7.26861788044701e-13,1.64000603342445e-128,0,7.26861788044701e-13,0,1801800808,212383758
3.93730207635382e-19,1.19496742170242e-132,0,3.93730207635382e-19,0,424087511,212383758
1.76002149738127e-07,1.64492212595194e-146,0,1.76002149738127e-07,0,2110430576,212383758
8.61895068542954e-08,1.45460270646791e-157,0,8.61895068542954e-08,0,1460481274,212383758
9.64640677161864e-06,1.11279468448701e-156,0,9.64640677161864e-06,0,833115916,212383758
0.0243235366458716,1.14006189576828e-06,0.0243235366458716,8.73244221703492e-205,0.00852782150956127,1607449337,212383758
1.51508972815297e-55,5.65553412533702e-58,1.51508972815297e-55,7.31786777076076e-133,7.16142041966562e-63,1978213338,212383758
9.30033263051845e-79,2.11052485476644e-127,1.58195401133328e-152,9.30033263051845e-79,0,1042308397,212383758
1.43793472430204e-40,2.39804020891506e-166,1.50889394882185e-275,1.43793472430204e-40,0,1114353214,212383758
2.33715742555017e-21,1.21690286390673e-190,0,2.33715742555017e-21,0,502490797,212383758
9.21448427312894e-24,4.8723974766606e-196,0,9.21448427312894e-24,0,153166480,212383758
1.48632571773997e-11,3.12089678927859e-201,0,1.48632571773997e-11,0,274525956,212383758
7.37100718607003e-13,4.66401550365719e-197,0,7.37100718607003e-13,0,208418381,212383758
5.12951172952415e-07,7.33501033686811e-199,0,5.12951172952415e-07,0,841589359,212383758
0.00065246426556981,7.08502402534339e-202,0,0.00065246426556981,0,399365206,212383758
0.0698364675193511,1.52586098952792e-05,0.0698364675193511,5.09884703389473e-252,0.0468777169133372,1417221503,212383758
1.96170120961987e-57,2.40848136777505e-91,1.96170120961987e-57,4.53431181224218e-164,2.17412578550196e-90,1844400773,212383758
1.35779020697315e-103,9.21150027935343e-162,2.36555036725396e-153,1.35779020697315e-103,2.56932858814791e-220,1435259803,212383758
3.46572832084957e-52,3.15003938292977e-200,7.77224495432246e-265,3.46572832084957e-52,0,1468484982,212383758
1.23734099810268e-34,2.45209051790721e-218,0,1.23734099810268e-34,0,1393533540,212383758
7.1583596360192e-29,4.05349030316361e-222,0,7.1583596360192e-29,0,1021390273,212383758
2.95794629818513e-15,2.14417060808674e-260,0,2.95794629818513e-15,0,502736590,212383758
3.34757667948423e-16,7.56091603500593e-242,0,3.34757667948423e-16,0,1301613484,212383758
