parameters,p_cit,p_TassocL,p_TassocGgvnL,p_GassocLgvnT,p_LindTgvnG,CIT_final_call,,p_L->A,p_L->B,"diff(B|A,B|A,L)",final_call
0.1_0.1,0.368165335023356,0.368165335023356,0.116865267052482,0.292170839046097,0.167296161252393, , ,0.37,0.63,0.52, 
0.1_0.2,0.762667942276189,0.184285445811393,0.0115774185039442,0.762667942276189,0.73133138919992, , ,0.45,0.16,0.93, 
0.1_0.3,0.954973722160793,0.954973722160793,1.15918950801568e-05,0.0955299235765012,0.921064642238202, , ,0.02,0.83,0.21, 
0.1_0.4,0.747073980962921,0.034780438398696,1.12287349987305e-12,0.747073980962921,0.0097078660327828, , ,0.09,0.1,0.93, 
0.1_0.5,1.0,0.0192030658056154,4.62271667672448e-16,0.160303971651176,1.0, , ,0.74,0.01,0.59, 
0.1_0.6,0.766915208920553,0.766915208920553,8.54597421323707e-40,0.444429270774998,4.18347885999976e-27, , ,0.62,0.94,0.1, 
0.1_0.7,1.0,0.483571072977528,1.6827727201097701e-38,0.0385166501304535,1.0, , ,0.2,0.68,0.37, 
0.1_0.8,0.952212725825602,0.535017775012033,1.70697851359019e-48,0.952212725825602,0.0175294547876642, , ,0.85,0.82,0.02, 
0.1_0.9,0.290351791666259,0.290351791666259,1.84315251620634e-65,0.17119367216006,5.02039682979973e-82, , ,0.21,0.31,0.39, 
0.1_1,1.0,0.231315252426806,8.20528224764567e-73,0.286893741677805,1.0, , ,0.83,0.28,0.01, 
0.1_3,0.256302578393882,0.0121073947203109,3.16536657819517e-236,0.256302578393882,8.329090240273359e-123, , ,0.01,0.0,0.32, 
0.2_0.1,0.412579560276843,0.412579560276843,0.0367277273386501,0.0033113735803221,0.0630605763056113, , ,0.01,0.73,0.29, 
0.2_0.2,0.99275904719828,0.947332422927767,0.0016779149461594,0.0008517482797544,0.99275904719828, , ,0.0,0.9,0.74, 
0.2_0.3,0.0309502638283215,0.0309502638283215,2.02401049279438e-05,7.17533299046739e-05,4.75969657735685e-05,causal, ,0.0,0.06,0.51, 
0.2_0.4,0.999974113963191,0.997902513444688,1.20757301138058e-17,0.0247944058348743,0.999974113963191, , ,0.07,0.7,0.11, 
0.2_0.5,0.735199538522955,0.735199538522955,8.147764518776181e-23,0.389986630880228,8.504989867105041e-15, , ,0.58,0.72,0.45, 
0.2_0.6,0.12227902084232,0.12227902084232,2.5858626377290903e-25,0.0506238863796948,3.98774857826815e-23, , ,0.05,0.25,0.0, 
0.2_0.7,0.143627563258233,0.143627563258233,8.82597559401574e-33,2.84962759953495e-08,2.38972627116951e-07, , ,0.0,0.07,0.6, 
