parameters,p_cit,p_TassocL,p_TassocGgvnL,p_GassocLgvnT,p_LindTgvnG,CIT_final_call,,p_L->A,p_L->B,"diff(B|A,B|A,L)",final_call
0.1_0.1,0.0248424575214954,0.0097447087639813,0.0248424575214954,3.63405022109429e-57,0.0101180889649788,causal, ,0.0,0.0,0.28, 
0.1_0.2,3.55985502349622e-05,3.55985502349622e-05,3.39952283583867e-07,9.09992174697817e-40,9.73630530563666e-08,causal, ,0.0,0.0,0.42, 
0.1_0.3,5.43468937144443e-06,5.43468937144443e-06,9.661852754899441e-14,6.78225978872921e-50,2.01448289958157e-14,causal, ,0.0,0.0,0.91, 
0.1_0.4,1.5966454583623798e-12,1.5966454583623798e-12,1.1663923524137999e-30,1.79427464987989e-40,2.51343180015767e-29,causal, ,0.0,0.0,0.15, 
0.1_0.5,7.0489004865938994e-12,7.0489004865938994e-12,6.4425360672295e-47,6.86213843182001e-38,3.63609721524615e-45,causal, ,0.0,0.0,0.2, 
0.1_0.6,3.07552865332657e-18,3.07552865332657e-18,1.72220791590974e-64,1.2347976334161202e-31,2.4751820473070703e-61,causal, ,0.0,0.0,0.0,causal
0.1_0.7,1.2551480323959299e-22,1.2551480323959299e-22,9.68204744122462e-100,6.05799198961572e-34,1.63731097481881e-87,causal, ,0.0,0.0,0.02,causal
0.1_0.8,3.35672854887411e-26,8.09562339280484e-30,2.26931981226679e-108,3.35672854887411e-26,3.86708435928148e-69,causal, ,0.0,0.0,0.0,causal
0.1_0.9,1.0280244655959201e-24,1.0280244655959201e-24,5.2994543638484495e-135,3.8467936553610998e-28,3.22932871993303e-100,causal, ,0.0,0.0,0.44, 
0.1_1,4.06547544588202e-23,4.06547544588202e-23,7.417168239179489e-158,1.64369025158149e-29,6.70277447114834e-60,causal, ,0.0,0.0,0.03,causal
0.1_3,2.67005453666714e-06,9.20704077148574e-45,0.0,2.67005453666714e-06,0.0,causal, ,0.0,0.0,0.0,causal
0.2_0.1,0.193123366228999,0.0060596676960748,2.21129105749103e-06,5.8186502838254906e-148,0.193123366228999, , ,0.0,0.0,0.88, 
0.2_0.2,4.1661428903496e-05,8.263417532800901e-10,4.1661428903496e-05,3.88508805493978e-148,1.98145927420247e-05,causal, ,0.0,0.0,0.01,causal
0.2_0.3,1.02522847300162e-18,5.847318178175e-24,1.83925497715869e-24,1.0366826879715099e-128,1.02522847300162e-18,causal, ,0.0,0.0,0.0,causal
0.2_0.4,1.0210246509860101e-25,1.0210246509860101e-25,3.31918992028925e-38,5.23525224007442e-110,5.32710618569588e-30,causal, ,0.0,0.0,0.01,causal
0.2_0.5,2.94502738325948e-38,2.00272827452664e-47,1.6734524967788e-43,1.5631918073285802e-112,2.94502738325948e-38,causal, ,0.0,0.0,0.02,causal
0.2_0.6,4.3371122972866505e-61,4.3371122972866505e-61,1.66405595235401e-73,9.91821049296245e-100,1.6851447855736703e-151,causal, ,0.0,0.0,0.0,causal
0.2_0.7,1.51203137310524e-59,1.51203137310524e-59,4.3837644083767e-85,1.96400555507989e-93,3.23687160164222e-87,causal, ,0.0,0.0,0.0,causal
0.2_0.8,4.30231829329951e-72,4.30231829329951e-72,1.18904588122721e-104,8.77291420862445e-85,4.9278385565987105e-259,causal, ,0.0,0.0,0.0,causal
0.2_0.9,5.330121785637359e-69,1.84764889498588e-78,9.01827908728188e-137,5.330121785637359e-69,1.1225766474103901e-132,causal, ,0.0,0.0,0.0,causal
0.2_1,5.2495424049342805e-61,1.82761168314555e-77,5.05895580986868e-145,5.2495424049342805e-61,0.0,causal, ,0.0,0.0,0.0,causal
0.2_3,1.75441150751202e-09,3.1546431112024104e-148,0.0,1.75441150751202e-09,0.0,causal, ,0.0,0.0,0.0,causal
0.3_0.1,0.189071039511007,8.7901774985171e-05,8.92990290169493e-05,6.5655332914536e-277,0.189071039511007, , ,0.0,0.0,0.7, 
0.3_0.2,3.18735611143664e-06,2.1587829263657602e-19,3.18735611143664e-06,3.42030804713643e-242,6.64742399749338e-08,causal, ,0.0,0.0,0.27, 
0.3_0.3,4.57055586802192e-20,6.08241688708039e-44,1.23866027360689e-20,4.79395602769702e-202,4.57055586802192e-20,causal, ,0.0,0.0,0.33, 
0.3_0.4,8.257658031505651e-25,2.09332281848747e-63,9.09821157519335e-43,1.20499379661036e-184,8.257658031505651e-25,causal, ,0.0,0.0,0.0,causal
0.3_0.5,9.508078573823469e-48,1.23089286444165e-76,9.508078573823469e-48,1.4383768372017498e-176,2.42164114075494e-118,causal, ,0.0,0.0,0.07, 
0.3_0.6,1.81676441904709e-63,3.51366186687085e-110,1.81676441904709e-63,1.01336836666187e-166,4.2529271237186995e-123,causal, ,0.0,0.0,0.0,causal
0.3_0.7,3.3058907304660296e-92,4.7963094636604996e-120,3.3058907304660296e-92,3.44169067171523e-134,2.3995701220060302e-198,causal, ,0.0,0.0,0.0,causal
0.3_0.8,2.9997789169718e-107,9.91913329711096e-138,2.9997789169718e-107,4.39826756241773e-115,4.73115467467578e-242,causal, ,0.0,0.0,0.0,causal
0.3_0.9,3.31603451895318e-104,2.3677596567537303e-145,3.23352225380884e-130,3.31603451895318e-104,0.0,causal, ,0.0,0.0,0.0,causal
0.3_1,1.66759901584754e-95,7.037973742405809e-174,3.44228766634657e-137,1.66759901584754e-95,1.30349913003168e-268,causal, ,0.0,0.0,0.09, 
0.3_3,1.0616086836129299e-16,1.8447814586787398e-244,0.0,1.0616086836129299e-16,0.0,causal, ,0.0,0.0,0.0,causal
0.4_0.1,0.0047222948865584,1.7967588193446197e-11,4.58685821983413e-05,0.0,0.0047222948865584,causal, ,0.0,0.0,0.99, 
