parameters,p_cit,p_TassocL,p_TassocGgvnL,p_GassocLgvnT,p_LindTgvnG,CIT_final_call,,p_L->A,p_L->B,"diff(B|A,B|A,L)",final_call
0.1_0.1,0.983143235081267,0.983143235081267,0.734980502493739,0.0380471680290461,0.329787447907811, , ,0.06,0.97,0.91, 
0.1_0.2,0.746683061412318,0.260232522930666,0.0623214868060223,0.600014844054269,0.746683061412318, , ,0.92,0.3,0.91, 
0.1_0.3,0.994669736577527,0.653948367623622,0.0020752442443253,0.264368660980534,0.994669736577527, , ,0.48,0.48,0.4, 
0.1_0.4,0.820465917907743,0.0198428345417704,6.24940398708825e-05,0.48779504568429,0.820465917907743, , ,0.61,0.04,0.49, 
0.1_0.5,0.944932666582577,0.456846252579192,3.68473328497186e-06,0.639245465051841,0.944932666582577, , ,0.8,0.72,0.47, 
0.1_0.6,0.888173387314721,0.818417651555464,1.37858562186246e-09,0.230351163636896,0.888173387314721, , ,0.4,0.74,0.91, 
0.1_0.7,0.965374139516959,0.523454387666115,1.56794443024623e-08,0.965374139516959,0.21990502590931, , ,0.5,0.78,0.56, 
0.1_0.8,0.233459011048671,0.163278728841549,1.79681688770321e-14,0.233459011048671,1.0525357637297698e-11, , ,0.15,0.09,0.9, 
0.1_0.9,0.704076160169931,0.118784284751488,3.63821735660377e-17,0.704076160169931,0.0009574306946479, , ,0.46,0.15,0.9, 
0.1_1,0.45227584712568,0.267774669053037,1.17440226624752e-20,0.45227584712568,2.43347861136571e-34, , ,0.37,0.52,0.02, 
0.1_3,0.487708603810831,0.0553442199922449,1.6305719019311799e-49,0.487708603810831,0.0011951497678056, , ,0.23,0.03,0.98, 
0.2_0.1,0.987128595473414,0.490148704633457,0.0169290528597863,0.0017139275494711,0.987128595473414, , ,0.01,0.87,0.31, 
0.2_0.2,0.958106434516018,0.794244329610054,0.0190907202150208,0.0191546627153689,0.958106434516018, , ,0.03,0.7,0.21, 
0.2_0.3,0.716557877342027,0.333055347632271,0.0306730956628449,0.716557877342027,0.21183253609538, , ,0.7,0.45,0.65, 
0.2_0.4,0.288208831093901,0.288208831093901,4.80653773036973e-08,0.222563613599509,1.64579739455584e-06, , ,0.05,0.4,0.53, 
0.2_0.5,0.99638922978749,0.859468851153541,4.65317123332341e-08,0.0240730883326695,0.99638922978749, , ,0.12,0.95,0.3, 
0.2_0.6,0.985386412601665,0.926194072533155,9.83845742770124e-06,0.479077345523751,0.985386412601665, , ,0.18,0.31,0.97, 
0.2_0.7,0.738372760776673,0.351380607966816,9.356939627126911e-09,0.738372760776673,0.608821562128848, , ,0.82,0.63,0.23, 
0.2_0.8,0.414667862111564,0.414667862111564,3.4519863004740997e-12,0.382685533693785,8.98959585816936e-13, , ,0.22,0.51,0.2, 
0.2_0.9,0.557884804371708,0.557884804371708,2.68683475471145e-12,0.40383028122107,2.08888885391482e-11, , ,0.67,0.86,0.42, 
0.2_1,0.953675407532298,0.117424385761436,1.4435770095125e-20,0.953675407532298,3.24682752020367e-05, , ,0.41,0.17,0.3, 
0.2_3,0.268374223513453,0.182667586336042,7.76871165588179e-45,0.268374223513453,1.23973803674053e-06, , ,0.01,0.03,0.1, 
0.3_0.1,0.862498224424855,0.674078304359332,0.862498224424855,0.0517946816813424,0.514194088110477, , ,0.13,0.37,0.07, 
0.3_0.2,0.834727941004166,0.834727941004166,0.126140743329918,0.0124392499833634,0.371525228972746, , ,0.0,0.97,0.83, 
0.3_0.3,0.216187323912346,0.216187323912346,2.97732181767547e-05,0.0171406545976596,1.55271817540873e-08, , ,0.03,0.19,0.13, 
0.3_0.4,0.160690524605344,0.0032374923824703,0.0099566362403317,0.160690524605344,0.0114423594645139, , ,0.04,0.01,0.58, 
0.3_0.5,0.991928575626216,0.920441085304694,3.3710296281612e-07,0.124885691676011,0.991928575626216, , ,0.19,0.98,0.0, 
0.3_0.6,0.569699221830476,0.386796666492071,4.30076998003463e-06,0.569699221830476,9.04660484902285e-05, , ,0.3,0.62,0.42, 
0.3_0.7,0.999999997227088,0.250546612772287,1.81737817823081e-07,0.0793019863433905,0.999999997227088, , ,0.5,0.5,0.87, 
0.3_0.8,0.810497723310719,0.778478901875528,1.77303907024316e-11,0.317351165288492,0.810497723310719, , ,0.45,0.47,0.11, 
0.3_0.9,0.601025205121246,0.430594077518522,2.23542460716688e-12,0.0303313333920372,0.601025205121246, , ,0.08,0.47,0.22, 
0.3_1,0.761651977374788,0.0196817876050301,9.570967958214651e-15,0.761651977374788,6.23078439259745e-06, , ,0.15,0.02,0.16, 
0.3_3,0.999989469701197,0.464411138119713,4.28981376273312e-46,0.401615665731374,0.999989469701197, , ,0.85,0.56,1.0, 
0.4_0.1,0.829868433861258,0.109726580570038,0.829868433861258,0.346959174938063,0.643652054148257, , ,0.51,0.22,0.78, 
0.4_0.2,0.952127853687838,0.394273947925048,0.0226228774711024,0.0751206948295969,0.952127853687838, , ,0.17,0.63,0.8, 
0.4_0.3,0.494867399861475,0.494867399861475,0.0007306961977743,0.221345472722534,1.27771179992443e-05, , ,0.32,0.41,0.39, 
0.4_0.4,0.381444836461649,0.381444836461649,0.0045896850403739,0.0027299724413938,1.15642037143047e-05, , ,0.01,0.75,0.13, 
0.4_0.5,0.577520814693078,0.577520814693078,2.3989433355884e-06,0.0215987048845726,0.474882253737812, , ,0.03,0.55,0.26, 
0.4_0.6,0.998397035112772,0.842070666987903,5.34772785704287e-07,0.238122838798432,0.998397035112772, , ,0.05,0.97,0.59, 
0.4_0.7,1.0,0.100392281626113,1.10857171030824e-08,0.0316589566519466,1.0, , ,0.61,0.25,0.85, 
0.4_0.8,0.938440480397573,0.190324383450112,4.1583469967857905e-14,0.938440480397573,0.0302423955703206, , ,0.7,0.26,0.52, 
