parameters,p_cit,p_TassocL,p_TassocGgvnL,p_GassocLgvnT,p_LindTgvnG,CIT_final_call,,p_L->A,p_L->B,"diff(B|A,B|A,L)",final_call
1_1_0.5_3,7.77948856858123E-06,8.82411017518972E-53,0,7.77948856858123E-06,1.51275139895341E-298,causal, ,0,0,0,causal
1_1_1_0.2,0.010033088424638,0.010033088424638,1.55041500437384E-09,1.18560922388396E-51,1.38395435976084E-05,causal, ,0,0.01,0.12, 
1_1_1_0.5,9.81311313430505E-10,9.81311313430505E-10,1.42071289404631E-54,7.02692399682496E-33,1.39249325882532E-45,causal, ,0,0,0.06, 
1_1_1_0.8,1.27003268482292E-21,1.27003268482292E-21,1.44522160845847E-105,4.16566162388502E-29,1.62487751653638E-74,causal, ,0,0,0,causal
1_1_1_1,1.12141482228699E-19,4.27633806293822E-27,4.31064933740917E-160,1.12141482228699E-19,2.33611582545219E-111,causal, ,0,0,0,causal
1_1_1_3,0.00181641907234,1.36644513475521E-46,0,0.00181641907234,2.29669661052325E-230,causal, ,0,0,0,causal
1_3_0.5_0.2,0.02652475666249,3.08608771317653E-16,1.0317320066576E-18,1.00822444781208E-238,0.02652475666249,causal, ,0,0,0.61, 
1_3_0.5_0.5,2.05701214365247E-50,1.20266952284173E-79,2.05701214365247E-50,4.20864147924185E-168,8.25314541364333E-51,causal, ,0,0,0.01,causal
1_3_0.5_0.8,2.09722523042288E-109,1.16382952104804E-133,2.09722523042288E-109,4.40705524231776E-113,4.15557081786469E-214,causal, ,0,0,0,causal
1_3_0.5_1,1.29764696770335E-92,5.34799329963753E-165,4.5418551164911E-138,1.29764696770335E-92,5.56036725520737E-253,causal, ,0,0,0,causal
1_3_0.5_3,4.3043847074582E-16,5.78691838140003E-247,0,4.3043847074582E-16,0,causal, ,0,0,0,causal
1_3_1_0.2,3.69784868367341E-08,4.9714900561803E-29,1.84729930959588E-10,3.61826983914957E-241,3.69784868367341E-08,causal, ,0,0,0.93, 
1_3_1_0.5,4.05388535059782E-47,4.48165375924584E-86,6.81729151540373E-64,4.17884777637301E-167,4.05388535059782E-47,causal, ,0,0,0,causal
1_3_1_0.8,7.83877584658892E-102,1.98655615478984E-140,7.83877584658892E-102,3.53300330342229E-116,1.65406952268005E-174,causal, ,0,0,0,causal
1_3_1_1,6.7590057596349E-96,2.46597142448683E-161,1.20474478184037E-150,6.7590057596349E-96,0,causal, ,0,0,0.01,causal
1_3_1_3,4.30277938316583E-25,1.0326838549677E-237,0,4.30277938316583E-25,0,causal, ,0,0,0,causal
