parameters,p_cit,p_TassocL,p_TassocGgvnL,p_GassocLgvnT,p_LindTgvnG,CIT_final_call,,p_L->A,p_L->B,"diff(B|A,B|A,L)",final_call
0.1_0.1_0.0,0.977806210034625,0.24142158346686,0.0074100629204694,0.001513524693263,0.977806210034625, , ,0.06,0.54,0.01, 
0.1_0.1_0.025,0.98262310934672,0.264322456171879,0.0254273246552427,0.002338902755867,0.98262310934672, , ,0.01,0.47,0.14, 
0.1_0.1_0.05,0.987669006453209,0.278085737104062,0.0339783387461078,0.0014488396645469,0.987669006453209, , ,0.01,0.7,0.81, 
0.1_0.1_0.07500000000000001,0.957844731141513,0.263814885934549,0.0501794753860345,0.001073783260291,0.957844731141513, , ,0.02,0.54,0.28, 
0.1_0.1_0.1,0.968602424666646,0.261811227740091,0.0465297862482797,0.0012608044841108,0.968602424666646, , ,0.02,0.52,0.23, 
0.1_0.5_0.0,0.172207127613662,0.172207127613662,1.24419222886221e-35,0.0459503791212432,7.53659436472482e-47, , ,0.01,0.2,0.0, 
0.1_0.5_0.025,0.192476032987541,0.192476032987541,2.78218020290149e-34,0.0149627357340042,1.5677933998562e-33, , ,0.0,0.17,0.0, 
0.1_0.5_0.05,0.167343368163204,0.167343368163204,8.81332253724523e-35,0.0124002427159071,3.6395583322003e-55, , ,0.01,0.2,0.21, 
0.1_0.5_0.07500000000000001,0.159325710955233,0.159325710955233,3.78988169877829e-34,0.0098028351541342,5.26972653777636e-54, , ,0.0,0.18,0.3, 
0.1_0.5_0.1,0.176445207267742,0.176445207267742,4.8060751461149804e-35,0.0042995673300438,9.41500957934779e-23, , ,0.02,0.1,0.14, 
0.1_1_0.0,0.529414984142926,0.0803587386324831,4.67456651537694e-87,0.529414984142926,1.1185462496923202e-31, , ,0.06,0.11,0.05, 
0.1_1_0.025,0.591526552490679,0.10927405147539,1.37506563959279e-87,0.591526552490679,1.74812508579708e-23, , ,0.1,0.17,0.44, 
0.1_1_0.05,0.332056665836265,0.0948256873298201,3.32125411841631e-89,0.332056665836265,2.12953559446988e-42, , ,0.06,0.24,0.08, 
0.1_1_0.07500000000000001,0.491665288808012,0.0717528463923438,2.67476291902827e-89,0.491665288808012,2.03439877656003e-21, , ,0.09,0.16,0.4, 
0.1_1_0.1,0.486132535716981,0.0718696164090825,1.02139599396761e-90,0.486132535716981,4.76150655171766e-27, , ,0.04,0.16,0.09, 
0.1_3_0.0,0.999998530972381,0.316684060386414,1.7289372599464498e-209,0.0444461382000936,0.999998530972381, , ,0.19,0.24,0.25, 
0.1_3_0.025,0.999829773857828,0.301517613933505,1.85125202205712e-210,0.0500824246747545,0.999829773857828, , ,0.26,0.32,0.74, 
0.1_3_0.05,0.988522176547069,0.29409306218204,7.25212929493802e-213,0.0685700710784372,0.988522176547069, , ,0.23,0.27,0.07, 
0.1_3_0.07500000000000001,0.975478200515092,0.283371243821987,1.63295605545791e-212,0.0709662568142337,0.975478200515092, , ,0.21,0.24,0.93, 
0.1_3_0.1,0.88181560855683,0.273980595933839,1.0697483255929199e-213,0.0737880754666082,0.88181560855683, , ,0.17,0.24,1.0, 
0.1_5_0.0,0.947256768696345,0.947256768696345,2.0708192842280698e-222,0.921274748394706,0.522249109164207, , ,0.98,0.71,1.0, 
0.1_5_0.025,0.965360289579958,0.965360289579958,2.43961887595566e-222,0.94753962168624,0.509134545675115, , ,0.99,0.69,0.0, 
