parameters,p_cit,p_TassocL,p_TassocGgvnL,p_GassocLgvnT,p_LindTgvnG,CIT_final_call,,p_L->A,p_L->B,"diff(B|A,B|A,L)",final_call
0.1_0.1_0.0,0.976012708831172,0.976012708831172,0.690030681385167,0.0669351755557055,0.596301453053027, , ,0.23,1.0,1.0, 
0.1_0.1_0.025,0.973423613476766,0.973423613476766,0.797575765559636,0.0736153208286316,0.0554917589863378, , ,0.26,0.88,0.31, 
0.1_0.1_0.05,0.951029276481249,0.951029276481249,0.731839287731778,0.0930287871286158,0.683401236277119, , ,0.33,0.84,0.95, 
0.1_0.1_0.07500000000000001,0.914863812858732,0.914863812858732,0.780385158872303,0.0625202908072885,0.4297846702094, , ,0.19,0.93,0.99, 
0.1_0.1_0.1,0.850792706265718,0.850792706265718,0.568132675327505,0.0413591624701782,0.149997104616521, , ,0.22,0.93,0.49, 
0.1_0.5_0.0,0.386240316285658,0.386240316285658,0.0002017663536259,0.330510150250579,0.0006363785251115, , ,0.28,0.17,0.58, 
0.1_0.5_0.025,0.412108699949079,0.412108699949079,7.32389559267712e-05,0.348526755155257,0.001116415293795, , ,0.28,0.13,0.67, 
0.1_0.5_0.05,0.44089279943593,0.44089279943593,3.18244873398098e-05,0.421229559508272,0.0118960615984609, , ,0.31,0.1,0.64, 
0.1_0.5_0.07500000000000001,0.441542903621673,0.441542903621673,1.03882836316579e-05,0.31332986305891,0.0005590715423501, , ,0.26,0.19,0.87, 
0.1_0.5_0.1,0.322671418345863,0.322671418345863,1.14655698626544e-05,0.201753454645848,0.000844487707708, , ,0.19,0.07,0.96, 
0.1_1_0.0,0.993660319591472,0.871089336982453,8.5718106281477e-07,0.137435365303701,0.993660319591472, , ,0.12,0.94,0.12, 
0.1_1_0.025,0.99999385068852,0.634006067727027,8.38938096951189e-08,0.128932745220222,0.99999385068852, , ,0.13,0.53,0.89, 
0.1_1_0.05,0.999999942051757,0.611850240486698,3.3187530822853e-08,0.153834754636978,0.999999942051757, , ,0.17,0.63,0.58, 
0.1_1_0.07500000000000001,0.999778741277184,0.504735344288019,4.74095450089263e-09,0.187670816288176,0.999778741277184, , ,0.21,0.53,0.39, 
0.1_1_0.1,0.999999468172508,0.746217613585051,9.76507126737003e-10,0.189558834896907,0.999999468172508, , ,0.22,0.89,0.24, 
0.1_3_0.0,0.999999771026687,0.787416603115718,2.0724857591742e-40,0.0001040828316692,0.999999771026687, , ,0.0,0.94,0.79, 
0.1_3_0.025,0.999999994857008,0.83164620063734,2.4610031739093197e-42,0.0001501165375489,0.999999994857008, , ,0.0,0.94,0.79, 
0.1_3_0.05,0.999999500390665,0.853053967295166,1.34565790382745e-45,0.000123859611282,0.999999500390665, , ,0.0,0.93,0.99, 
0.1_3_0.07500000000000001,0.99999999970136,0.716920145158388,7.23105078890109e-48,6.05873338799358e-05,0.99999999970136, , ,0.0,0.92,0.98, 
0.1_3_0.1,0.999998428781828,0.619336208263055,1.8294887326922599e-50,6.2842503834465e-05,0.999998428781828, , ,0.0,0.86,0.0, 
0.1_5_0.0,0.999999999839434,0.243514072846667,3.39029541130086e-60,0.371637392341321,0.999999999839434, , ,0.6,0.19,1.0, 
0.1_5_0.025,0.999999991765777,0.265116126543948,3.54186869655256e-64,0.391320940160607,0.999999991765777, , ,0.55,0.26,0.78, 
0.1_5_0.05,0.999999998709624,0.249041466179482,1.27178056059663e-68,0.411376825837961,0.999999998709624, , ,0.66,0.34,1.0, 
0.1_5_0.07500000000000001,0.993068906056371,0.136493524820167,2.54127359877599e-71,0.446138474955941,0.993068906056371, , ,0.44,0.16,0.0, 
0.1_5_0.1,0.999983930904588,0.253516963905367,1.51203787806723e-76,0.46591090560003,0.999983930904588, , ,0.55,0.48,0.92, 
0.5_0.1_0.0,0.739822428067809,0.739822428067809,0.681003097737459,1.5239103517333502e-09,0.666300453857902, , ,0.0,0.63,0.42, 
0.5_0.1_0.125,0.71170536854628,0.627049937883074,0.582500471723,4.16183765511979e-14,0.71170536854628, , ,0.0,0.53,0.04, 
0.5_0.1_0.25,0.84747920399707,0.469497942928962,0.84747920399707,1.9398292402926e-16,0.60730353367652, , ,0.0,0.56,0.27, 
