,p_cit,p_TassocL,p_TassocGgvnL,p_GassocLgvnT,p_LindTgvnG,CIT_final_call,,p_L->A,p_L->B,"diff(B|A,B|A,L)",final_call
432,0.70178387071144,0.0004639839026185,0.50456208915175,3.71057781848568e-17,0.70178387071144, , ,0.0,0.0,0.67, 
446,1.0,0.0219200544608391,2.03256563068965e-09,6.00599828439251e-06,1.0, , ,0.01,0.05,0.98, 
447,0.04610914453576,0.0098375955728859,0.04610914453576,5.25950119432469e-33,0.0122849061480191,causal, ,0.0,0.01,0.02,causal
452,1.0,0.615863065492108,6.352402237928709e-30,1.2717788997237299e-30,1.0, , ,0.0,0.6,0.65, 
455,0.0024679151324126,0.0024679151324126,2.7544119628999996e-15,1.5287443091947199e-30,2.03825994228366e-19,causal, ,0.0,0.0,0.02,causal
459,1.0,0.218448698167884,7.20200334129108e-35,4.83163998992477e-47,1.0, , ,0.0,0.05,0.06, 
465,0.998300389415856,5.45772228343915e-06,0.0027680674605003,0.0,0.998300389415856, , ,0.0,0.0,0.98, 
480,1.0,0.0236471285692298,1.4119245438532402e-20,1.04932201296191e-16,1.0, , ,0.0,0.05,0.97, 
482,1.0,0.0468217908469016,6.0727240038593e-16,1.38997033770502e-14,1.0, , ,0.0,0.02,0.87, 
490,0.133136122730802,0.133136122730802,0.0021788423618811,2.28673096585493e-74,0.0485312575965838, , ,0.0,0.16,0.19, 
513,0.999999999989407,0.292998075427651,3.48410343705076e-36,2.22134287645864e-42,0.999999999989407, , ,0.0,0.61,0.94, 
519,0.456681710383469,0.183323819623563,0.456681710383469,1.2695623015182398e-77,0.221105055499631, , ,0.0,0.34,0.36, 
520,1.0,0.0073704953250386,4.51398399409319e-13,4.96103169376555e-07,1.0, , ,0.05,0.05,0.18, 
529,0.0676062059976788,0.0676062059976788,0.0057601613639301,6.32461428619268e-32,0.0009823550237564, , ,0.0,0.18,0.02, 
543,0.0808557730295137,0.0808557730295137,0.0746680636611758,3.69665810101444e-13,0.0110775967196556, , ,0.0,0.13,0.17, 
556,7.965713232991741e-19,7.44721811098001e-21,1.7679107325088702e-44,7.965713232991741e-19,1.02656300575149e-25,causal, ,0.0,0.0,0.02,causal
560,1.0,0.0444631722937747,1.21972732481419e-83,1.11983822549172e-07,1.0, , ,0.0,0.01,0.27, 
573,0.999999771038784,0.0792209755057568,2.98849234741806e-25,5.06856455518915e-74,0.999999771038784, , ,0.0,0.17,0.89, 
575,1.0,0.0048151871388241,1.0581297688693898e-55,5.8533793637717405e-09,1.0, , ,0.01,0.04,1.0, 
579,0.96378071598323,0.907597479248508,0.0030654634954168,3.76151969449162e-06,0.96378071598323, , ,0.0,0.84,0.89, 
584,0.999784298492007,0.6365897329162,6.3851548963374e-05,0.0,0.999784298492007, , ,0.0,0.67,0.9, 
585,0.974696275617971,0.1916904510065,0.0541185826497255,0.0,0.974696275617971, , ,0.0,0.51,0.21, 
586,0.979361199413182,0.922414977777019,0.0131484636313476,5.01835566309389e-05,0.979361199413182, , ,0.0,0.4,0.7, 
604,0.992728056765848,0.973164652154637,0.0006486235497184,1.86811020085172e-55,0.992728056765848, , ,0.0,0.68,0.47, 
606,0.620796519951669,0.620796519951669,0.3676799928554,5.2618489625003494e-55,0.0108712660061953, , ,0.0,0.84,0.0, 
617,0.0021738185259922,0.0021738185259922,5.7741276018331e-33,4.85467751114462e-10,1.85775684345803e-38,causal, ,0.0,0.04,0.3, 
618,0.999853372484202,0.0640034282325353,0.0003962330112979,4.20060615720054e-73,0.999853372484202, , ,0.0,0.22,0.95, 
620,0.260444478557103,0.260444478557103,0.0272531758041683,0.0001926942261687,0.0063064804824399, , ,0.02,0.07,0.32, 
625,1.0,0.204008703795547,3.31656519513295e-37,1.01307039184724e-06,1.0, , ,0.0,0.21,0.93, 
637,0.0001799210979017,0.0001799210979017,3.37849664183914e-32,1.41518380357788e-29,1.46464064380826e-16,causal, ,0.0,0.0,0.06, 
644,0.666024955983131,0.647102558154168,9.53586238618878e-14,5.37419159639628e-05,0.666024955983131, , ,0.0,0.45,0.05, 
647,0.999718278066873,0.723684301111084,1.31133812857562e-09,5.34346139371801e-60,0.999718278066873, , ,0.0,0.92,0.82, 
648,0.999935574677127,0.427057302097533,2.90752530351008e-06,7.040336042703819e-13,0.999935574677127, , ,0.0,0.71,0.63, 
649,0.973708196316795,0.624702262024856,0.0001558875560429,1.53974814429829e-88,0.973708196316795, , ,0.0,0.14,0.5, 
650,0.699233145815051,0.0238986376923319,0.699233145815051,6.3843531408258e-05,0.299881222923587, , ,0.0,0.12,0.41, 
653,0.988869176298199,0.988869176298199,0.715419641327198,0.0,0.341168564283994, , ,0.0,0.88,0.66, 
655,0.999999999999164,4.96372128216076e-12,3.4064613549889e-08,6.90770092579322e-14,0.999999999999164, , ,0.0,0.0,0.96, 
669,0.104592397102271,0.0127301138783463,0.0897819861788012,4.0095391113459e-33,0.104592397102271, , ,0.0,0.06,0.15, 
674,0.998402959947424,0.0404291452816453,1.06455164306361e-23,8.593310831117509e-77,0.998402959947424, , ,0.0,0.15,1.0, 
675,0.999782789957322,0.501451342078079,0.0001024698467705,8.87858570145572e-117,0.999782789957322, , ,0.0,0.01,0.88, 
676,0.992956428111505,0.526235241233344,0.0066538017411029,1.03217845056956e-13,0.992956428111505, , ,0.0,0.16,0.95, 
681,0.999999994769043,0.0106117858692858,4.01634682566091e-10,3.9830791297620194e-36,0.999999994769043, , ,0.0,0.05,0.89, 
689,0.516854874236919,0.516854874236919,0.0438100350565589,1.70225916911691e-58,0.41997889489161, , ,0.0,0.72,0.61, 
691,0.999999999999984,0.0850678660627162,2.25626949305585e-18,4.30294723560275e-73,0.999999999999984, , ,0.0,0.32,0.96, 
693,0.93398647681787,0.159867958031392,0.154101773863131,1.12335748594594e-71,0.93398647681787, , ,0.0,0.39,0.81, 
707,0.999999999963519,0.911886570909144,1.21573434552659e-25,1.26811149471582e-13,0.999999999963519, , ,0.0,0.66,0.59, 
708,0.0059472015730678,0.0059472015730678,0.0024539359375299,1.16581764453474e-32,0.0003653829363422,causal, ,0.0,0.05,0.37, 
718,0.995384988946084,0.0232120707239369,6.4457457603081004e-24,1.37966406988769e-72,0.995384988946084, , ,0.0,0.02,1.0, 
737,0.322459392068356,0.322459392068356,0.205412599276745,4.44017376819205e-71,0.0212902694017892, , ,0.0,0.69,0.97, 
738,0.0615819145867393,0.0258971865397217,0.0615819145867393,0.0002154975882678,0.0197621379073411, , ,0.0,0.05,0.74, 
745,0.101154698429582,0.101154698429582,6.38883587224935e-09,1.62672976553692e-06,1.28860604124613e-10, , ,0.0,0.22,0.06, 
748,0.999999999999998,0.943422601084043,4.53067795814658e-23,8.905667421185019e-36,0.999999999999998, , ,0.0,0.16,0.91, 
754,0.925810275915355,0.403597934494087,0.152367922475894,1.35048446825233e-71,0.925810275915355, , ,0.0,0.71,0.78, 
757,1.0,0.103813941140679,8.13274534818975e-88,2.59547231150867e-88,1.0, , ,0.0,0.06,1.0, 
764,0.976439611961207,0.606380599127679,0.0132999258773616,0.0037205088256201,0.976439611961207, , ,0.04,0.88,0.74, 
765,0.887013773806825,0.831345767339131,0.146659166599795,0.0,0.887013773806825, , ,0.0,0.46,0.22, 
776,0.52123200801721,0.52123200801721,5.9344879805611e-06,3.30991430351211e-16,0.334999810039274, , ,0.0,0.3,0.83, 
778,1.0,0.0694892705498319,2.4904553038403502e-20,3.05245894323663e-16,1.0, , ,0.0,0.08,0.99, 
780,1.0,0.720652361237551,6.0711120989205e-58,3.0149613464890903e-15,1.0, , ,0.0,0.44,0.83, 
781,0.259291800864456,0.259291800864456,4.19702692979092e-19,0.0002026469929395,5.16729749332008e-59, , ,0.0,0.23,0.0, 
782,1.0,0.61527702563797,1.30556153176381e-61,1.11763331464265e-16,1.0, , ,0.0,0.93,0.96, 
786,0.0947770192500679,0.0947770192500679,2.99481803090947e-11,2.54121763260363e-06,8.159256107472279e-11, , ,0.0,0.24,0.61, 
797,0.0779723596787021,0.0779723596787021,0.0071433020969309,3.72316579618603e-74,6.99367180408559e-06, , ,0.0,0.0,0.93, 
807,1.0,0.280844552576699,2.04084729769259e-96,1.64190791648768e-43,1.0, , ,0.0,0.49,1.0, 
808,0.987401951652034,0.455660457444481,0.987401951652034,1.50050843217984e-59,0.667270148607378, , ,0.0,0.77,0.98, 
812,0.837560682703217,0.440130101445932,0.0003749563447892,1.8241697896978998e-71,0.837560682703217, , ,0.0,0.73,1.0, 
817,0.449543906087272,4.33208255320544e-08,0.449543906087272,1.38988053528693e-18,0.227167982413199, , ,0.0,0.0,0.64, 
830,0.327381724207983,0.327381724207983,0.0609734370536892,0.0004491900325929,0.0874269561509033, , ,0.01,0.47,0.45, 
837,0.732019983869879,0.0012902918781405,0.469082881563211,0.0,0.732019983869879, , ,0.0,0.02,0.87, 
840,0.999989721641042,0.0475733683486448,4.88579738799226e-25,2.97600671502104e-84,0.999989721641042, , ,0.0,0.1,0.79, 
842,0.999941875110814,0.164327671571951,1.06059876968087e-15,1.62815998427261e-76,0.999941875110814, , ,0.0,0.34,0.49, 
845,0.95311355413845,0.568424618187616,0.0009359353904629,4.082977796602e-75,0.95311355413845, , ,0.0,0.89,0.21, 
853,0.911020051597372,0.911020051597372,0.272239080786572,5.50237116605581e-39,0.575122358243087, , ,0.0,0.66,0.32, 
854,0.973404540043104,0.582826241867237,0.973404540043104,6.57372049940699e-10,0.598971661496028, , ,0.0,0.85,0.6, 
861,0.990340278023463,0.812187639602717,0.0003922737301262,4.38453544520029e-05,0.990340278023463, , ,0.0,0.02,0.87, 
863,0.296711075948609,0.258274448352548,6.29629292855926e-07,2.18797801998925e-32,0.296711075948609, , ,0.0,0.14,0.59, 
865,0.78905498721398,0.78905498721398,0.535465200114207,5.43320561141415e-07,0.267444542945704, , ,0.0,0.81,0.92, 
867,0.0125653023636202,0.0125653023636202,0.0003099804804983,1.03696538573151e-32,0.0001173705321817,causal, ,0.0,0.05,0.88, 
869,0.94966708536236,0.94966708536236,0.348045291781598,9.19079868659326e-22,0.438217012425798, , ,0.0,0.79,0.95, 
872,0.854643555761465,0.615612972394598,0.0007522416043015,4.48559848612344e-39,0.854643555761465, , ,0.0,0.83,0.8, 
874,1.0,0.350954603364392,9.5832701722278e-198,1.56175378554172e-09,1.0, , ,0.0,0.55,1.0, 
875,0.99656359852505,0.210476344414223,0.0067915606893069,2.77044552269573e-72,0.99656359852505, , ,0.0,0.35,1.0, 
887,0.999999999718663,0.221745451154765,1.15469431151898e-14,2.77693794124885e-63,0.999999999718663, , ,0.0,0.48,1.0, 
891,0.999999999997386,0.35822425913218,1.96846120655275e-18,5.78833605360783e-43,0.999999999997386, , ,0.0,0.73,0.97, 
896,0.686180357392986,0.686180357392986,0.490954621698372,7.71175054795399e-07,0.380052691811327, , ,0.0,0.74,0.13, 
900,1.0,0.0170546998272773,4.18325855445882e-18,4.77778049944034e-66,1.0, , ,0.0,0.11,1.0, 
907,1.0,0.791611804712634,2.8908230104190396e-28,8.41040991485777e-44,1.0, , ,0.0,0.18,0.97, 
910,0.955125507154049,0.955125507154049,0.773995427385106,6.2607938623047294e-55,0.124878987781167, , ,0.0,0.32,0.39, 
923,0.999928404013848,0.175748304355646,0.0003627716153259,2.58617010015726e-05,0.999928404013848, , ,0.0,0.31,0.4, 
925,0.0004660500295194,0.0004660500295194,1.35883533825636e-38,1.7478629026577602e-09,3.79187887545085e-35,causal, ,0.0,0.02,0.63, 
935,0.993876039730961,0.758832236864641,0.0003477435734428,1.55248390374691e-12,0.993876039730961, , ,0.0,0.91,0.6, 
940,0.999991936828145,0.0365528647709389,0.0009187761230353,1.73026554059218e-56,0.999991936828145, , ,0.0,0.16,0.91, 
942,1.0,0.0095212866379465,1.19665376309031e-51,2.88695003846923e-05,1.0, , ,0.0,0.07,1.0, 
950,1.0,0.592012274942799,1.69162272075275e-98,4.12417503018084e-87,1.0, , ,0.0,0.08,1.0, 
951,0.0281935237883757,0.0281935237883757,0.0011155724502764,6.36622734011613e-54,4.15639255218647e-05,causal, ,0.0,0.06,0.63, 
953,0.988912413876665,0.160307983258784,0.0002602086258911,0.0,0.988912413876665, , ,0.0,0.14,0.61, 
974,0.999999999999841,0.0985952131786456,9.54540192561412e-12,1.0538997656547e-21,0.999999999999841, , ,0.0,0.39,0.96, 
990,0.99991106008374,0.135586732385047,3.75736038993346e-09,0.0,0.99991106008374, , ,0.0,0.49,0.83, 
993,0.999999814326143,0.287361303808174,1.0061780295256501e-10,9.99386393704665e-91,0.999999814326143, , ,0.0,0.26,0.71, 
1010,0.999999998311423,0.890995598752746,5.45125095032434e-16,1.90291203113618e-69,0.999999998311423, , ,0.0,0.75,0.84, 
1016,0.951566789421194,0.67653107282971,3.53566411901869e-21,0.0004477006709365,0.951566789421194, , ,0.0,0.91,0.42, 
1024,0.665759535182433,0.242845004447372,0.665759535182433,0.0003935902321093,0.360984767483888, , ,0.0,0.37,0.1, 
1028,0.136409252556441,0.136409252556441,2.48669513727759e-05,0.0006914450506016,3.35577528344311e-05, , ,0.01,0.24,0.97, 
1046,0.392357578300277,0.392357578300277,0.158680575915052,0.0004207189997778,0.0517819068079645, , ,0.0,0.55,0.06, 
1048,0.999999537621252,0.0130494182787367,4.08702461727568e-16,0.0,0.999999537621252, , ,0.0,0.03,0.63, 
1049,0.999994261961174,0.483223054248104,9.39572845321677e-16,1.7774952970697901e-68,0.999994261961174, , ,0.0,0.79,0.36, 
1056,0.734765753734714,0.114282954675628,3.2133253313580403e-10,4.02330091817948e-66,0.734765753734714, , ,0.0,0.04,0.72, 
1065,0.981403613249258,0.928467248671255,0.0090624650428264,6.1925115625615405e-59,0.981403613249258, , ,0.0,0.64,0.92, 
1070,0.932020209306173,0.932020209306173,0.226186961238321,1.33395051319188e-32,0.823585063526363, , ,0.0,0.5,0.43, 
1079,0.811726544509015,0.372351077726577,0.259510085196305,2.3694104569656e-16,0.811726544509015, , ,0.0,0.13,0.88, 
1081,0.0129151125239893,0.0129151125239893,0.0002072673793125,1.05965561836849e-32,2.34804575180779e-05,causal, ,0.0,0.05,0.21, 
1085,1.0,0.0291934804874393,2.18371790518947e-47,2.9723046713756302e-52,1.0, , ,0.0,0.24,1.0, 
1086,0.127097702843415,6.68281173296565e-05,0.127097702843415,7.51940198943088e-06,0.0674352135818114, , ,0.0,0.01,0.9, 
1098,0.999789717355523,0.748056384333416,8.93500803946888e-08,3.2037079766916e-40,0.999789717355523, , ,0.0,0.91,0.64, 
1109,1.0,0.886163937983188,3.4876156099816894e-30,2.97113138828095e-96,1.0, , ,0.0,0.86,1.0, 
1119,0.758220546779258,0.141085543093552,0.702729880813318,1.48068311320065e-58,0.758220546779258, , ,0.0,0.34,0.55, 
1126,0.999248230163073,0.783383811741823,6.69674534228931e-07,0.0002638214562636,0.999248230163073, , ,0.0,0.65,0.42, 
1128,1.0,0.70658686002914,8.05034318703802e-14,0.0,1.0, , ,0.0,0.95,1.0, 
1133,0.999999999999936,0.0008599865230022,3.15429923214699e-10,5.62880615679521e-16,0.999999999999936, , ,0.0,0.0,0.83, 
1136,1.0,0.0494694221810485,3.3030522857318203e-47,2.62344932971383e-75,1.0, , ,0.0,0.1,1.0, 
1137,1.0,0.0511472298583911,1.7667819250944802e-58,7.26876877722389e-08,1.0, , ,0.0,0.27,0.09, 
1138,0.577192218199408,0.577192218199408,0.0003069160039624,4.84232625008778e-17,0.25526250864747, , ,0.0,0.85,0.5, 
1149,0.999999920433931,0.406307718156019,1.5782643048697202e-14,4.8204267322044794e-42,0.999999920433931, , ,0.0,0.06,0.84, 
1154,0.0270324289854876,0.0270324289854876,8.053571944267531e-09,0.0002224172649544,1.03551836946068e-07,causal, ,0.0,0.07,0.82, 
1160,0.926780617972259,0.254816096289369,0.262199955841623,0.0003159377740067,0.926780617972259, , ,0.0,0.31,0.12, 
1165,0.999999070244356,0.0714168591708654,5.33725361791691e-06,3.75745009107146e-05,0.999999070244356, , ,0.0,0.23,0.24, 
1167,0.000477391794865,0.000477391794865,7.965378000952451e-23,6.89042492857359e-30,9.55445173830443e-22,causal, ,0.0,0.0,0.15, 
1176,0.999840817401687,0.114054310913412,3.52753769108942e-05,2.7981994293516904e-35,0.999840817401687, , ,0.0,0.45,0.58, 
1178,0.980319104388172,0.0038102468547004,0.0175180539501876,3.29525833494307e-07,0.980319104388172, , ,0.0,0.01,0.76, 
1181,0.0440598469728474,0.0440598469728474,1.66889303164391e-48,0.0010303178995465,1.8072972324033498e-48,causal, ,0.0,0.03,0.72, 
1190,0.491817406368953,0.491817406368953,0.0005828706736503,3.40815149817004e-12,3.79281605864582e-05, , ,0.0,0.81,0.11, 
1192,0.999999944853782,0.952872520272939,1.12681860705409e-11,4.7337348394376996e-57,0.999999944853782, , ,0.0,0.46,0.96, 
1202,0.927607347604457,0.927607347604457,0.016959846571273,0.0003633501082633,0.851365045796079, , ,0.01,0.85,0.96, 
1213,0.361145550041674,0.361145550041674,0.265232694096565,5.90938279946836e-89,0.0552719878349574, , ,0.0,0.43,0.86, 
1214,0.999103911564144,0.0061816843545357,3.44163802129746e-61,5.1552976304201096e-36,0.999103911564144, , ,0.0,0.0,0.94, 
1220,0.960424299813484,0.116147592191601,0.0198230993920842,1.00325913008247e-55,0.960424299813484, , ,0.0,0.07,0.63, 
1223,0.999249106413291,0.344963259123611,0.0025508332569094,0.0,0.999249106413291, , ,0.0,0.42,0.17, 
1225,0.0034053217990838,0.0034053217990838,0.0009847225693716,4.49056766110738e-113,7.71974670268664e-05,causal, ,0.0,0.05,0.69, 
1231,1.0,0.343355845124473,1.0429536886131e-37,1.9493615896044102e-17,1.0, , ,0.0,0.12,0.96, 
1233,0.999900049434799,0.555998967807058,8.9520438962739e-06,9.41989608683216e-13,0.999900049434799, , ,0.0,0.88,0.67, 
1243,0.994366580844026,0.994366580844026,0.0089488860471293,4.03255881573445e-06,0.983280467532028, , ,0.0,0.45,0.41, 
1249,0.79057291291053,0.697643851965964,0.0370976039901402,6.25626220503273e-75,0.79057291291053, , ,0.0,0.43,0.63, 
1250,0.0096583830211848,0.0096583830211848,2.87089686620725e-17,4.48120774537127e-26,4.98647977874267e-13,causal, ,0.0,0.05,0.64, 
1251,0.999935543978836,0.658820106742525,0.0001216391147136,1.4137972158374e-116,0.999935543978836, , ,0.0,0.96,0.96, 
1257,0.028235646978446,0.028235646978446,5.84664640426972e-05,1.84901889906771e-06,0.0003069471381906,causal, ,0.0,0.19,0.41, 
1273,0.901969407326705,0.535561931388616,0.122477863047412,3.28146959513193e-17,0.901969407326705, , ,0.0,0.82,0.1, 
1286,0.999283741679363,0.756264586733942,2.01074792151417e-07,2.53767469187535e-06,0.999283741679363, , ,0.0,0.91,0.99, 
1291,0.0008722860202665,0.0008722860202665,7.47340178668e-05,1.4733064183793302e-14,0.0001089216738883,causal, ,0.0,0.0,0.54, 
1302,1.0,0.131614023066653,4.1457884214300804e-21,0.0001946232374667,1.0, , ,0.0,0.17,0.89, 
1305,0.995538326542438,1.71406519281008e-05,0.0059590754424971,6.2600601293713e-73,0.995538326542438, , ,0.0,0.0,0.77, 
1306,0.99973413069499,0.0275174677491894,0.0003192746247709,9.67357564230002e-57,0.99973413069499, , ,0.0,0.06,0.64, 
