parameters,p_cit,p_TassocL,p_TassocGgvnL,p_GassocLgvnT,p_LindTgvnG,CIT_final_call,,p_L->A,p_L->B,"diff(B|A,B|A,L)",final_call
0.1_0.1_0.0,0.805052147392798,0.296329470162288,0.374639360918249,0.0612776110703701,0.805052147392798, , ,0.1,0.18,0.58, 
0.1_0.1_0.025,0.779403444184812,0.225173759564077,0.244322776666578,0.0538566060484266,0.779403444184812, , ,0.08,0.24,0.17, 
0.1_0.1_0.05,0.922459706551267,0.24831134724503,0.226688639935244,0.029349922467437,0.922459706551267, , ,0.06,0.22,0.27, 
0.1_0.1_0.07500000000000001,0.904148244271281,0.180062165695685,0.183997336434073,0.0224935990681871,0.904148244271281, , ,0.08,0.19,0.06, 
0.1_0.1_0.1,0.862757836820822,0.325536669426059,0.237610484245819,0.0264810450201304,0.862757836820822, , ,0.03,0.45,0.63, 
0.1_0.5_0.0,0.999896042536658,0.879410003906983,9.36997363389291e-12,0.0010311259237889,0.999896042536658, , ,0.01,1.0,0.0, 
0.1_0.5_0.025,0.999445436176256,0.899667408405887,2.46434431296103e-11,0.0009108087714173,0.999445436176256, , ,0.02,0.96,0.27, 
0.1_0.5_0.05,0.999260338567122,0.996966308454022,2.30310480849018e-12,0.0020358918765833,0.999260338567122, , ,0.01,0.88,0.35, 
0.1_0.5_0.07500000000000001,0.999948639790658,0.970802059590026,5.37466157627104e-13,0.0054040712718956,0.999948639790658, , ,0.02,0.9,0.29, 
0.1_0.5_0.1,0.999999789685075,0.934204121860191,2.7691658079122697e-12,0.0064614517179783,0.999999789685075, , ,0.04,0.84,0.02, 
0.1_1_0.0,0.448781341817187,0.341612037815542,2.23980857839693e-32,0.448781341817187,9.46916183402356e-19, , ,0.31,0.66,0.44, 
0.1_1_0.025,0.485590507617684,0.308413743481143,1.07166954371996e-32,0.485590507617684,5.17284325114394e-38, , ,0.29,0.61,0.72, 
0.1_1_0.05,0.452016314767545,0.276371024797853,5.597627138322841e-35,0.452016314767545,3.05307362908734e-12, , ,0.28,0.57,0.53, 
0.1_1_0.07500000000000001,0.572469682688042,0.305597349987827,3.82124371432981e-35,0.572469682688042,8.0020281909487e-13, , ,0.31,0.59,0.55, 
0.1_1_0.1,0.526608716639654,0.386586797989376,7.79680498131988e-36,0.526608716639654,4.0261938397045596e-18, , ,0.38,0.66,0.88, 
0.1_3_0.0,0.521541899406863,0.259566506705528,2.6100642347336404e-167,0.521541899406863,0.377681920896045, , ,0.51,0.5,0.83, 
0.1_3_0.025,0.562756079860269,0.235033853398558,1.10405731036188e-172,0.562756079860269,0.10590284247165, , ,0.51,0.48,0.82, 
0.1_3_0.05,0.554517842578292,0.193301192097008,1.8228202981953601e-180,0.554517842578292,6.70840140718636e-06, , ,0.5,0.32,0.51, 
0.1_3_0.07500000000000001,0.632502311367475,0.186539193108441,5.729454553929699e-186,0.632502311367475,2.97597378545783e-06, , ,0.42,0.39,0.65, 
0.1_3_0.1,0.697631011506853,0.187055471228775,1.7068351358297901e-186,0.697631011506853,1.51352505047041e-07, , ,0.54,0.39,0.0, 
0.1_5_0.0,0.769029173035562,0.0306234327364999,7.751534895685541e-245,0.769029173035562,8.31923827945625e-106, , ,0.19,0.12,0.83, 
0.1_5_0.025,0.962826691474454,0.0260506678055532,4.20315632232947e-254,0.962826691474454,1.37160965199027e-39, , ,0.11,0.14,0.89, 
0.1_5_0.05,0.830502217876735,0.0259678108902582,3.89827101567653e-257,0.830502217876735,3.71761783844905e-85, , ,0.12,0.1,1.0, 
0.1_5_0.07500000000000001,0.50444609246338,0.0146743765024405,1.25265031631863e-255,0.50444609246338,6.87549204011484e-91, , ,0.11,0.09,0.1, 
0.1_5_0.1,0.516335833576206,0.0104809330075465,8.850705945013821e-259,0.516335833576206,1.50929098271106e-120, , ,0.08,0.08,0.32, 
0.5_0.1_0.0,0.962250488143502,0.962250488143502,0.11689719813183,2.33065341053458e-10,0.884033808874083, , ,0.0,0.1,0.43, 
