parameters,p_cit,p_TassocL,p_TassocGgvnL,p_GassocLgvnT,p_LindTgvnG,CIT_final_call,,p_L->A,p_L->B,"diff(B|A,B|A,L)",final_call
-5_6_0.5_2,0.99999997097373,0.0,0.0,0.0,0.99999997097373, , ,0.0,0.0,0.02,causal
-5_6_0.5_3,0.999999999847659,1.21210775444173e-231,0.0,0.0,0.999999999847659, , ,0.0,0.0,0.95, 
-5_6_1_2,0.999708248326149,0.0,4.99628377965965e-287,7.188586e-318,0.999708248326149, , ,0.0,0.0,1.0, 
-5_6_1_3,0.999999995764993,1.703102411062e-245,0.0,0.0,0.999999995764993, , ,0.0,0.0,0.0,causal
-5_5_0.5_2,0.999999999958084,0.0,0.0,0.0,0.999999999958084, , ,0.0,0.0,0.96, 
-5_5_0.5_3,0.999999999987477,1.69734087959272e-192,0.0,0.0,0.999999999987477, , ,0.0,0.0,0.01,causal
-5_5_1_2,0.99999999999994,1.17352878341608e-298,0.0,2.28573460593217e-307,0.99999999999994, , ,0.0,0.0,0.03,causal
-5_5_1_3,0.999999999773353,2.0970639360031e-191,0.0,0.0,0.999999999773353, , ,0.0,0.0,0.01,causal
-5_3_0.5_2,0.999999999999999,1.28425789203638e-223,0.0,2.6614045288512496e-265,0.999999999999999, , ,0.0,0.0,0.01,causal
-5_3_0.5_3,0.999999998991032,4.34148753671529e-154,0.0,3.61677483933552e-189,0.999999998991032, , ,0.0,0.0,0.18, 
-5_3_1_2,7.81759961175512e-09,7.13609038422365e-241,0.0,5.497281188581891e-151,7.81759961175512e-09,causal, ,0.0,0.0,0.0,causal
-5_3_1_3,0.002298949914763,1.1109911524286001e-137,0.0,3.4148459174061996e-129,0.002298949914763,causal, ,0.0,0.0,0.0,causal
-5_2_0.5_2,0.000392162340353,1.33932253575351e-167,0.0,2.13888290344122e-118,0.000392162340353,causal, ,0.0,0.0,0.01,causal
-5_2_0.5_3,2.50815818571387e-27,4.27806429863426e-104,0.0,2.50815818571387e-27,1.98356067547909e-116,causal, ,0.0,0.0,0.0,causal
-5_2_1_2,2.3605999013168e-25,6.21424370280753e-157,0.0,1.5734364904454601e-74,2.3605999013168e-25,causal, ,0.0,0.0,0.98, 
-5_2_1_3,4.6357526691058e-33,3.49990869501472e-102,0.0,4.6357526691058e-33,3.28617348088579e-119,causal, ,0.0,0.0,1.0, 
-5_4_0.5_2,0.99999999998316,3.40830296896117e-294,0.0,0.0,0.99999999998316, , ,0.0,0.0,0.07, 
-5_4_0.5_3,0.999999999995929,6.658942879612961e-181,0.0,0.0,0.999999999995929, , ,0.0,0.0,0.01,causal
-5_4_1_2,0.898088830793384,3.22994578253634e-269,0.0,2.3628528832409997e-231,0.898088830793384, , ,0.0,0.0,0.0,causal
-5_4_1_3,0.999999999999977,1.9660739965152902e-194,0.0,2.04879155517349e-240,0.999999999999977, , ,0.0,0.0,1.0, 
-6_6_0.5_2,0.999999999998527,0.0,0.0,0.0,0.999999999998527, , ,0.0,0.0,0.07, 
