p_cit,p_TL,p_TG,p_GL,p_Lind,GroundTruth,GroundTruth,p_L->A,p_L->B,"diff(B|A,B|A,L)",pour
0.765758359803175,0.202504636768642,0.000324487904141,0.765758359803175,0.063460865400425,1,1,0,0,0,0
0.896573313036237,0.896573313036237,4.28746922944456E-06,0.454989714662154,2.78898127515826E-11,1,1,0,0,0.21,0.21
0.78316496752368,0.698874433222208,1.02422994223406E-26,0.011925919400806,0.78316496752368,1,1,0,0,0,0
0.162479381105587,0.107597369554233,1.33680474519271E-38,0.162479381105587,2.26633882401232E-14,1,1,0,0,0,0
0.999998987466136,0.870693782587288,7.94669041010049E-40,0.176670379745841,0.999998987466136,1,1,0,0,0,0
0.999220743540071,0.560851253773817,6.34842865720481E-78,0.014647245368678,0.999220743540071,1,1,0,0,0,0
0.529405498392078,0.074545482858382,4.11047310985115E-83,0.529405498392078,1.36244981253015E-20,1,1,0,0,0,0
0.205384052640206,0.156450677865464,1.05730072079168E-112,0.205384052640206,5.80433299501113E-89,1,1,0,0,0,0
1,0.117206385926544,1.60886769053979E-120,0.059640454966895,1,1,1,0,0,0,0
0.402621557179169,0.007218300570572,1.93763057182352E-156,0.402621557179169,2.05011936511638E-57,1,1,0,0,0,0
0.9552481967461,0.527456467559112,0,0.9552481967461,1.42271823867542E-58,1,1,0,0.58,0.57,0.58
0.166426154101734,0.166426154101734,0.000149863534677,5.33661286168139E-07,0.00119608358694,1,1,0,0,0,0
0.996557015448845,0.759026595222946,2.64607967737791E-09,1.84100733298277E-05,0.996557015448845,1,1,0,0,0,0
0.286541432104059,0.286541432104059,1.88208543061455E-22,0.023944024758721,3.12097964803079E-27,1,1,0,0,0,0
0.124391013295403,0.124391013295403,2.83863813391547E-38,0.008676547763478,9.55930355935826E-47,1,1,0,0,0,0
0.310393272823544,0.310393272823544,2.22167935990639E-59,0.040836308051108,1.33596966313029E-89,1,1,0,0,0,0
0.096552097968816,0.096552097968816,5.78977290345969E-65,4.60899013071479E-05,1.10286264652831E-10,1,1,0.02,0.67,0.67,0.67
0.19979915541436,0.19979915541436,6.08405293793844E-71,0.048985733274481,4.72094674280353E-137,1,1,0.06,0.05,0.14,0.14
0.005165173244926,0.005165173244926,1.64779787994157E-114,0.001307633971076,5.12204849245755E-231,1,1,0.1,0.25,0.1,0.25
1,0.615903312811012,1.05127144140905E-117,0.002678355085515,1,1,1,0.92,0.34,0.59,0.92
0.982105771701463,0.042609544068862,7.33186033102E-157,0.982105771701463,6.08593469326624E-35,1,1,0,0,0.25,0.25
0.044151160444296,3.17014550155518E-05,0,0.044151160444296,4.42146486461325E-222,1,1,0,0,0,0
0.185977266769518,0.185977266769518,3.49788736067602E-05,2.03320886986328E-09,1.20498008879182E-06,1,1,0,0,0,0
0.361579324096484,0.361579324096484,0.001725913869222,7.21439161591679E-07,0.000377438905154,1,1,0,0.49,0.32,0.49
0.008126145930829,0.008126145930829,1.23414002822845E-19,4.9234321025177E-10,2.65090654814693E-19,1,1,0,0.01,0.29,0.29
0.000950892063143,0.000950892063143,1.81331521693288E-24,2.63766924306953E-09,1.59761194636301E-27,1,1,0,0,0.15,0.15
0.007228368717512,0.007228368717512,1.78462879492736E-57,0.000492372547047,1.55730824983104E-47,1,1,0.07,0.59,0.19,0.59
0.000552475757765,1.05542089554416E-05,7.66390591251525E-68,0.000552475757765,1.3135659686434E-46,1,1,0,0.26,0.32,0.32
0.122364146427532,0.122364146427532,1.18003240057734E-89,0.000213274259742,3.11097764743772E-09,1,1,0.06,0.36,0.06,0.36
0.020348503774112,0.020348503774112,2.97891583565961E-110,8.67699355011163E-07,5.09895109243217E-08,1,1,0,0,0,0
0.544739906540935,0.062943460463767,3.71344134951897E-126,8.17837525506107E-07,0.544739906540935,1,1,0.01,0.33,0.46,0.46
0.000728303975523,0.000728303975523,1.90735336359231E-143,2.53676910580466E-05,1.9177723016009E-78,1,1,0,0,0,0
0.983067578958049,0.000340587544328,0,0.983067578958049,1.02468440623924E-82,1,1,0,0,0,0
0.339384174975342,0.339384174975342,0.000255589043754,1.94986785430315E-09,7.08317154922045E-07,1,1,0,0,0.02,0.02
0.115473021815896,0.115473021815896,3.94259157858968E-11,1.70666673285092E-11,4.26557622398382E-17,1,1,0,0,0,0
0.013129687194786,0.013129687194786,2.09334898023236E-18,1.88027234553136E-09,5.26051005788385E-16,1,1,0,0,0,0
0.016252740441904,0.016252740441904,5.34347204819984E-37,1.48060329535608E-05,7.46273840509723E-58,1,1,0,0,0.01,0.01
0.017177625010426,0.017177625010426,2.82630841054832E-52,5.57680955664417E-11,3.65897891739474E-13,1,1,0,0,0,0
0.001720828166245,0.001720828166245,1.33295326601167E-62,0.000563553582127,2.08060215339249E-69,1,1,0,0,0,0
4.58279268350604E-05,4.58279268350604E-05,9.27492238779775E-74,1.0487571701745E-05,4.95533329831808E-97,1,1,0,0,0,0
0.000608416788801,0.000608416788801,1.87862434065201E-119,0.000120711585057,7.91785902624724E-94,1,1,0,0,0,0
0.000212916127659,0.000212916127659,1.05081038025858E-121,2.25003924476884E-06,2.03058512220889E-73,1,1,0,0,0,0
