,loss_LA_pear,_step,dataset,loss_LA_p,loss_LA_nlcor,_runtime,loss_LB_p,loss_LA_spear,loss_LB_pear,loss_LB_nlcor,loss_LB_spear,loss_LA_mutual,loss_LB_mutual,_timestamp,true_LA,true_LB
0,-0.13185399916558527,0,0,0.0,0.13185399916558527,398,0.24,-0.12920124478175254,-0.05281189073704008,0.05281189073704008,-0.047730417705979786,0.0,0.0025472427418669064,1646661510,-0.08274005353450775,-0.23342721164226532
1,-0.15494109542488818,1,1,0.0,0.15494109542488818,788,0.67,-0.15522804484969493,-0.014244024050276742,0.09203712700380291,-0.006135789971178998,0.012903006308922382,0.01067782904787351,1646661900,1.063246488571167,-0.37085655331611633
2,0.22713667148173394,2,2,0.87,0.22713667148173394,1179,0.61,0.19248480993099895,-0.029303049355398715,0.15432024899230543,-0.027856570910629496,0.03772477246356831,0.0,1646662291,1.3747165203094482,-0.29850175976753235
3,0.5408995920582649,3,3,0.0,0.5408995920582649,1568,0.68,0.5633426395368908,0.029038161117121472,0.05013265993755772,0.030191875018050575,0.17625316608970976,0.0,1646662680,0.1037534698843956,0.4752456843852997
4,-0.5030546953679751,4,4,0.0,0.5030546953679751,1956,0.12,-0.5195560011855662,-0.05457268200041884,0.05457268200041885,-0.06695583610990878,0.15121660508316936,0.034208227328133,1646663068,-0.06284023076295853,0.6298004388809204
5,-0.21185256733803773,5,5,0.0,0.21185256733803773,2347,0.88,-0.2093756077513255,0.010935470791643098,0.10023574627511621,0.01058309134212707,0.0,0.01251680624957796,1646663459,-0.03641485422849655,0.35404959321022034
6,-0.2500279815577938,6,6,0.0,0.2500279815577939,2736,0.74,-0.25901355159781836,-0.08072366086358478,0.08072366086358478,-0.08197676081963966,0.020743912073593718,0.0005168746412167469,1646663848,0.31369370222091675,-0.012718911282718182
7,-0.8342596425764723,7,7,0.0,0.8342596425764724,3126,0.46,-0.834094636090595,-0.0010459086532206138,0.12155446906394558,-0.0017236725264173649,0.5419801235543793,0.009976877929648964,1646664238,0.27495241165161133,-0.1242053359746933
8,0.13551253970268362,8,8,0.04,0.1355125397026836,3517,0.6,0.16945114957907628,0.015051529695337173,0.07156354898431407,0.021056460954392862,0.00343836958154764,0.0,1646664629,0.12920883297920227,1.070686936378479
9,0.6343513065139792,9,9,0.0,0.6343513065139793,3907,0.64,0.6615771063089861,0.09713028347787415,0.09713028347787417,0.0928875996908808,0.27193309694443135,0.016603330061148558,1646665019,-0.30293700098991394,-0.08146195113658905
10,-0.8342596425764723,10,10,0.0,0.8342596425764724,4299,0.13,-0.834094636090595,0.04241361260778754,0.042413612607787525,0.029275288499860278,0.5419801235543793,0.028800128550737325,1646665411,0.26663923263549805,0.503113865852356
11,-0.14711301840223207,11,11,0.0,0.14711301840223207,4690,0.01,-0.14167552181820817,-0.08219163268167574,0.08219163268167572,-0.07781852547539918,0.0,0.0,1646665802,0.379588782787323,0.9241660833358765
12,0.13551253970268362,12,12,0.05,0.1355125397026836,5082,0.06,0.16945114957907628,-0.06281396272567161,0.06281396272567161,-0.06747215123197647,0.0036917181085405204,0.0,1646666194,0.128177672624588,0.6985492706298828
13,-0.33247040189175114,13,13,0.0,0.3324704018917511,5474,0.89,-0.3369813129213575,-0.05016145900592738,0.13832742714948984,-0.04469922084538752,0.05722891998593793,0.0,1646666586,0.07840042561292648,0.005273822229355574
14,0.11180810492413679,14,14,0.0,0.1118081049241368,5866,0.64,0.0915255612667908,0.022832705413286095,0.15086896914246778,0.020467170672432505,0.009478625765815707,0.0,1646666978,0.12763305008411407,0.7655134797096252
15,0.13551253970268362,15,15,0.05,0.1355125397026836,6259,0.15,0.16945114957907628,-0.04412170409718826,0.04412170409718827,-0.03088845607742554,0.004172818750372009,0.0,1646667371,0.12655727565288544,0.029632272198796272
16,0.572595280114286,16,16,0.0,0.5725952801142858,6649,0.87,0.5935891092104564,0.013567581016184733,0.054831570142107926,0.006095247963871104,0.2144321633316788,0.005270305456004598,1646667761,0.023763174191117287,-0.07108324766159058
17,-0.2500279815577938,17,17,0.0,0.2500279815577939,7037,0.4,-0.25901355159781836,0.03556462842420489,0.035564628424204894,0.009186700874159981,0.020743912073593718,0.0019357098670997885,1646668149,0.3133692741394043,-0.29892897605895996
18,-0.2175672926324061,18,18,0.0,0.21756729263240612,7430,0.61,-0.21970376810884976,0.01873698784046242,0.03570520765121365,0.014443690335812526,0.0,0.00042668639593745894,1646668542,0.13453581929206848,1.740901231765747
19,-0.15692971005877793,19,19,0.07,0.1569297100587779,7818,0.01,-0.15848098325034174,-0.06823782588267799,0.06823782588267797,-0.06804705113067318,0.02863985372660416,0.025930994406010877,1646668930,-0.16082768142223358,0.43427807092666626
20,0.11920390620344519,20,20,0.04,0.11920390620344516,8210,0.19,0.1102750962736371,0.054347663248232925,0.05434766324823293,0.05612184520496248,0.0,0.020317128038028986,1646669322,-0.2859097123146057,0.14009524881839752
21,-0.16437460495328327,21,21,0.0,0.1643746049532833,8602,0.84,-0.17390609537783525,-0.03906959014344069,0.039069590143440684,-0.03736031196220068,0.003606914472083389,0.0292685720443282,1646669714,1.068300724029541,-0.06153597682714462
22,-0.2500279815577938,22,22,0.0,0.2500279815577939,8994,0.57,-0.25901355159781836,0.09486665481747948,0.09486665481747951,0.09140699721034584,0.020743912073593718,0.016507924105586547,1646670106,0.31760457158088684,0.0411330908536911
23,-0.09850686531245922,23,23,0.08,0.09850686531245922,9385,0.62,-0.1086123276966613,-0.024813626428383112,0.0701035729130728,-0.03762821501569025,0.018834150491139567,0.0020468922593044336,1646670497,0.269397497177124,0.5081326961517334
24,-0.4108995801163993,24,24,0.0,0.4108995801163993,9775,0.0,-0.5926785829579636,-0.08908949109286182,0.08908949109286181,-0.0908383691955548,0.21910055053366673,0.0,1646670887,0.30334484577178955,-0.309240460395813
25,0.12228824039818376,25,25,0.13,0.12228824039818376,10166,0.16,0.12664472057746182,-0.017881540502666403,0.0763804765600708,-0.026703891740386985,0.0,0.0,1646671278,0.10290030390024185,-0.216959148645401
26,-0.4108995801163993,26,26,0.0,0.4108995801163993,10557,0.05,-0.5926785829579636,-0.07666214043767892,0.0766621404376789,-0.08142100046685798,0.21905764901904767,0.0,1646671669,0.30273982882499695,0.23383007943630219
27,-0.1092480710302544,27,27,0.12,0.10924807103025441,10950,0.42,-0.1143810630658062,-0.04423211517703726,0.07616180186721107,-0.033717121533819214,0.0,0.0,1646672062,-0.09486828744411469,0.9625913500785828
28,0.08140488169654872,28,28,0.0,0.08640657609262815,11352,0.01,0.06304975501190657,-0.11160013489914487,0.11160013489914487,-0.10233829749008465,0.0,0.0,1646672464,0.5081538558006287,0.17487964034080505
29,-0.17344581763144667,29,29,0.0,0.17344581763144667,11754,0.75,-0.17713153731510697,0.008046701216558521,0.06644698396210368,0.011646847640049524,0.01849658504231,0.0,1646672866,-0.00516919931396842,0.17435069382190704
30,-0.15494109542488818,30,30,0.0,0.15494109542488818,12154,0.54,-0.15522804484969493,-0.05098344309959914,0.050983443099599124,-0.05283409004951265,0.012903006308922382,0.013466616813123666,1646673266,1.063651442527771,0.049414414912462234
