,parameters,p_cit,p_TassocL,p_TassocGgvnL,p_GassocLgvnT,p_LindTgvnG,CIT_final_call,,p_L->A,p_L->B,"diff(B|A,B|A,L)",final_call
0,-5_6_0.5_2,0.99999997097373,0.0,0.0,0.0,0.99999997097373, , ,0.0,0.0,0.49, 
1,-5_6_0.5_3,0.999999999847659,1.21210775444173e-231,0.0,0.0,0.999999999847659, , ,0.0,0.0,0.05, 
2,-5_6_1_2,0.999708248326149,0.0,4.99628377965965e-287,7.188586e-318,0.999708248326149, , ,0.0,0.0,0.3, 
3,-5_6_1_3,0.999999995764993,1.703102411062e-245,0.0,0.0,0.999999995764993, , ,0.0,0.0,0.0,causal
4,-5_5_0.5_2,0.999999999958084,0.0,0.0,0.0,0.999999999958084, , ,0.0,0.0,0.02,causal
5,-5_5_0.5_3,0.999999999987477,1.69734087959272e-192,0.0,0.0,0.999999999987477, , ,0.0,0.0,0.02,causal
6,-5_5_1_2,0.99999999999994,1.17352878341608e-298,0.0,2.28573460593217e-307,0.99999999999994, , ,0.0,0.0,0.09, 
7,-5_5_1_3,0.999999999773353,2.0970639360031e-191,0.0,0.0,0.999999999773353, , ,0.0,0.0,0.05, 
8,-5_3_0.5_2,0.999999999999999,1.28425789203638e-223,0.0,2.6614045288512496e-265,0.999999999999999, , ,0.0,0.0,0.2, 
9,-5_3_0.5_3,0.999999998991032,4.34148753671529e-154,0.0,3.61677483933552e-189,0.999999998991032, , ,0.0,0.0,0.17, 
10,-5_3_1_2,7.81759961175512e-09,7.13609038422365e-241,0.0,5.497281188581891e-151,7.81759961175512e-09,causal, ,0.0,0.0,0.0,causal
11,-5_3_1_3,0.002298949914763,1.1109911524286001e-137,0.0,3.4148459174061996e-129,0.002298949914763,causal, ,0.0,0.0,0.45, 
12,-5_2_0.5_2,0.000392162340353,1.33932253575351e-167,0.0,2.13888290344122e-118,0.000392162340353,causal, ,0.0,0.0,0.33, 
13,-5_2_0.5_3,2.50815818571387e-27,4.27806429863426e-104,0.0,2.50815818571387e-27,1.98356067547909e-116,causal, ,0.0,0.0,0.2, 
14,-5_2_1_2,2.3605999013168e-25,6.21424370280753e-157,0.0,1.5734364904454601e-74,2.3605999013168e-25,causal, ,0.0,0.0,0.15, 
15,-5_2_1_3,4.6357526691058e-33,3.49990869501472e-102,0.0,4.6357526691058e-33,3.28617348088579e-119,causal, ,0.0,0.0,0.08, 
16,-5_4_0.5_2,0.99999999998316,3.40830296896117e-294,0.0,0.0,0.99999999998316, , ,0.0,0.0,0.02,causal
17,-5_4_0.5_3,0.999999999995929,6.658942879612961e-181,0.0,0.0,0.999999999995929, , ,0.0,0.0,0.0,causal
18,-5_4_1_2,0.898088830793384,3.22994578253634e-269,0.0,2.3628528832409997e-231,0.898088830793384, , ,0.0,0.0,0.03,causal
19,-5_4_1_3,0.999999999999977,1.9660739965152902e-194,0.0,2.04879155517349e-240,0.999999999999977, , ,0.0,0.0,0.2, 
20,-6_6_0.5_2,0.999999999998527,0.0,0.0,0.0,0.999999999998527, , ,0.0,0.0,0.07, 
21,-6_6_0.5_3,0.999999999999544,2.5609912004983202e-259,0.0,0.0,0.999999999999544, , ,0.0,0.0,0.08, 
22,-6_6_1_2,0.999997078135841,0.0,0.0,1.99959339549635e-308,0.999997078135841, , ,0.0,0.0,0.2, 
23,-6_6_1_3,0.999999999989149,9.11402353619127e-249,0.0,0.0,0.999999999989149, , ,0.0,0.0,0.0,causal
24,-6_5_0.5_2,0.999999999584134,0.0,0.0,0.0,0.999999999584134, , ,0.0,0.0,0.14, 
25,-6_5_0.5_3,0.999999998285348,9.207477787470799e-231,0.0,0.0,0.999999998285348, , ,0.0,0.0,0.03,causal
26,-6_5_1_2,0.984845167476527,0.0,0.0,8.21266973438115e-260,0.984845167476527, , ,0.0,0.0,0.03,causal
27,-6_5_1_3,0.999999999999998,6.4087343598686e-230,0.0,1.87843807542954e-290,0.999999999999998, , ,0.0,0.0,0.52, 
28,-6_3_0.5_2,0.999999999942971,7.70223693758508e-252,0.0,1.09930304015133e-275,0.999999999942971, , ,0.0,0.0,0.21, 
29,-6_3_0.5_3,0.999999988728203,2.1267425817227898e-153,0.0,5.4316591398977394e-177,0.999999988728203, , ,0.0,0.0,0.04,causal
30,-6_3_1_2,0.0107514809572344,5.84337990640272e-232,0.0,1.9186761129573202e-157,0.0107514809572344,causal, ,0.0,0.0,0.18, 
31,-6_3_1_3,1.12645410836938e-12,3.19295146864081e-159,0.0,3.46047684022946e-104,1.12645410836938e-12,causal, ,0.0,0.0,0.07, 
32,-6_2_0.5_2,0.0504993372852536,9.19173638797826e-162,0.0,4.4655858054194304e-120,0.0504993372852536, , ,0.0,0.0,0.44, 
33,-6_2_0.5_3,5.70102630056743e-38,2.20677888140917e-109,0.0,5.70102630056743e-38,1.2011808432979902e-67,causal, ,0.0,0.0,0.42, 
34,-6_2_1_2,2.7636344433991803e-58,5.69524037201621e-159,0.0,2.7636344433991803e-58,2.70946897769743e-64,causal, ,0.0,0.0,0.11, 
35,-6_2_1_3,1.76848221900677e-29,1.74503566096235e-108,0.0,1.76848221900677e-29,2.1005167611856698e-122,causal, ,0.0,0.0,0.48, 
36,-6_4_0.5_2,0.999999998906049,8.31034384458344e-309,0.0,0.0,0.999999998906049, , ,0.0,0.0,0.09, 
37,-6_4_0.5_3,0.999999999948403,4.54862446646928e-196,0.0,1.68493334447491e-304,0.999999999948403, , ,0.0,0.0,0.05, 
38,-6_4_1_2,0.531620699974861,1.47088249667681e-305,0.0,9.95984136163401e-215,0.531620699974861, , ,0.0,0.0,0.05, 
39,-6_4_1_3,0.999999998602537,2.75239975004783e-208,0.0,3.8726819055772e-223,0.999999998602537, , ,0.0,0.0,0.09, 
40,-4_6_0.5_2,0.999999999999846,2.88514298020117e-301,0.0,0.0,0.999999999999846, , ,0.0,0.0,0.56, 
41,-4_6_0.5_3,0.999999999995308,3.5034398524053304e-198,0.0,0.0,0.999999999995308, , ,0.0,0.0,0.12, 
42,-4_6_1_2,0.999999999997137,1.2052314841155e-311,3.16883450902016e-257,0.0,0.999999999997137, , ,0.0,0.0,0.37, 
43,-4_6_1_3,0.999999999999878,9.382659393328891e-198,0.0,0.0,0.999999999999878, , ,0.0,0.0,0.23, 
44,-4_5_0.5_2,0.99999999999966,8.12580706115998e-288,0.0,0.0,0.99999999999966, , ,0.0,0.0,0.09, 
45,-4_5_0.5_3,0.999999999995143,1.70428680388519e-179,0.0,0.0,0.999999999995143, , ,0.0,0.0,0.0,causal
46,-4_5_1_2,0.999999995727828,1.32002594029424e-269,5.7818274966077696e-288,1e-323,0.999999995727828, , ,0.0,0.0,0.0,causal
