,parameters,p_cit,p_TassocL,p_TassocGgvnL,p_GassocLgvnT,p_LindTgvnG,CIT_final_call,,p_L->A,p_L->B,"diff(B|A,B|A,L)",final_call
41,0.4_0.9,0.0002129161276594,0.0002129161276594,1.0508103802585801e-121,2.25003924476884e-06,2.03058512220889e-73,causal, ,0.0,0.0,0.0,causal
42,0.4_1,0.0016825669866465,1.84606799020777e-05,6.20524976099111e-153,0.0016825669866465,1.7326255960254e-110,causal, ,0.0,0.0,0.04,causal
43,0.4_3,0.209902956027902,3.47386751334706e-09,0.0,0.209902956027902,1.3348238881297401e-188, , ,0.0,0.0,0.0,causal
44,0.5_0.1,0.0821939539127183,0.0821939539127183,9.43325987456346e-05,1.04936365266271e-18,3.29209135863314e-05, , ,0.0,0.0,0.61, 
45,0.5_0.2,0.0031364515260077,0.0031364515260077,2.11429695235928e-06,3.3975433513676004e-16,7.07216210968524e-06,causal, ,0.0,0.0,0.94, 
46,0.5_0.3,0.143356325912439,0.143356325912439,1.35634957750809e-17,2.80821906852771e-13,7.19628556407926e-06, , ,0.0,0.0,0.82, 
47,0.5_0.4,0.0002699326851182,0.0002699326851182,5.02368038145621e-47,5.82066806768111e-08,6.39484258874379e-40,causal, ,0.0,0.0,0.0,causal
48,0.5_0.5,0.0001206299886639,0.0001206299886639,7.21289256484257e-35,6.32921740062561e-13,1.4661008141169e-34,causal, ,0.0,0.0,0.07, 
49,0.5_0.6,8.70294028871649e-05,8.70294028871649e-05,8.19071365838236e-72,9.36788672859859e-09,1.12095899805224e-54,causal, ,0.0,0.0,0.0,causal
50,0.5_0.7,0.0004845685572414,0.0004845685572414,1.34932563534944e-84,1.3862408082750801e-14,2.9746082915749e-12,causal, ,0.0,0.0,0.09, 
51,0.5_0.8,9.4545133943501e-06,9.4545133943501e-06,3.65688939225996e-118,3.90661592926351e-10,1.07808435597833e-64,causal, ,0.0,0.0,0.0,causal
52,0.5_0.9,3.93496412794925e-09,1.7297396088007697e-11,2.60631036301677e-135,3.93496412794925e-09,4.93101101666194e-101,causal, ,0.0,0.0,0.0,causal
53,0.5_1,3.82490312876705e-06,3.82490312876705e-06,1.15770506175117e-137,3.41572792366737e-08,9.15914924649224e-74,causal, ,0.0,0.0,0.0,causal
54,0.5_3,0.111626698475919,3.51880666441546e-13,0.0,0.111626698475919,4.6847961438839595e-208, , ,0.0,0.0,0.0,causal
55,0.6_0.1,0.791930857743673,0.759262006905752,0.0056337182921079,4.00190294775831e-24,0.791930857743673, , ,0.0,0.0,0.24, 
56,0.6_0.2,0.007930028643869,0.007930028643869,9.06694264474552e-14,1.9555301751379802e-21,1.87455207854324e-17,causal, ,0.0,0.0,0.66, 
57,0.6_0.3,0.0252686881924867,0.0252686881924867,1.68552485025055e-20,1.00628040152409e-19,2.81608945738197e-08,causal, ,0.0,0.0,0.08, 
58,0.6_0.4,3.14013612977968e-06,3.14013612977968e-06,2.9123727102255698e-33,9.39431288911252e-21,2.31888283592547e-34,causal, ,0.0,0.0,0.06, 
59,0.6_0.5,2.50614305802045e-06,2.50614305802045e-06,1.15397273203109e-52,2.62968724707419e-17,5.8411927734571695e-49,causal, ,0.0,0.0,0.2, 
60,0.6_0.6,1.46404807854892e-08,1.46404807854892e-08,4.78087614652327e-59,1.85816651933685e-13,9.90780813177509e-51,causal, ,0.0,0.0,0.0,causal
61,0.6_0.7,1.17429643070344e-07,1.17429643070344e-07,3.93905880590651e-97,1.05816068278645e-14,1.49646244845839e-57,causal, ,0.0,0.0,0.0,causal
62,0.6_0.8,1.20477568745073e-05,1.20477568745073e-05,1.42943029012113e-104,9.10181640895616e-11,4.0228497763921305e-67,causal, ,0.0,0.0,0.0,causal
63,0.6_0.9,2.11616446588896e-06,2.11616446588896e-06,8.47461630992416e-120,2.77503950238641e-20,5.02919396228498e-12,causal, ,0.0,0.0,0.0,causal
