"p_cit","p_TL","p_TG","p_GL","p_Lind","p_res"
-1,-1,-1,-1,-1,"16487486"
0.898760229256312,0.198623131394764,0.898760229256312,0.259614970580271,0.639141356480996," "
0.593042756913637,0.593042756913637,0.0001556435637254,0.000690332914729665,8.84805866265392e-09," "
0.999999904590849,0.465270965864378,5.50232454202759e-10,0.0649609569930701,0.999999904590849," "
0.453347963690888,0.453347963690888,1.42321392294795e-19,0.0841081135680756,3.15712344045161e-64," "
0.999672085031036,0.922585813997246,3.23709299550375e-21,0.0718501383931003,0.999672085031036," "
0.913436707638513,0.436224258103435,3.64699628971925e-30,0.913436707638513,0.000468613751373548," "
0.665024445497501,0.665024445497501,1.95227942708333e-50,0.572162312378199,1.49845775380048e-107," "
0.824608259867355,0.590147947709088,3.27181178995433e-52,0.824608259867355,0.772802419111213," "
0.999999999466043,0.972565005828384,9.45274067484168e-79,0.188035835810453,0.999999999466043," "
0.929698258089862,0.787000220980904,3.74492083141375e-74,0.84691249294642,0.929698258089862," "
0.798754562062454,0.798754562062454,0.0277548636467157,0.0020558334236562,0.0758970633341617," "
0.85492125503652,0.812964724941573,7.05262830648261e-06,0.85492125503652,0.172876799465507," "
0.978489768083641,0.918220216351949,9.50836736947662e-11,0.0568771595332175,0.978489768083641," "
0.42640091710136,0.121966878778282,1.61165924880951e-20,0.42640091710136,1.49767444719386e-12," "
0.0365479515654241,0.0365479515654241,3.03128953391902e-38,0.00630507979353317,1.02752137716377e-23,"causal"
0.589573337963406,0.000781801240319087,4.58397254162673e-38,0.589573337963406,0.00653126399448208," "
0.305222023068404,0.0350115408270114,4.12405185105191e-53,0.305222023068404,3.3779672147009e-26," "
0.560773872499885,0.335383419590306,8.70477257762844e-55,0.00468731718468937,0.560773872499885," "
0.632076365182715,0.000976752769144545,2.12853229924364e-69,0.632076365182715,1.62727844832593e-18," "
0.97071344472354,0.0263514998712614,1.39176610191139e-60,0.97071344472354,1.73731394761751e-09," "
0.552218848828949,0.552218848828949,0.120782190612085,1.36333779803446e-05,0.0491948910825635," "
0.538792120344914,0.538792120344914,9.567164463337e-07,7.58614449754118e-06,0.102934382095934," "
0.541100660046935,0.541100660046935,5.08187863481952e-13,0.000344067781014252,0.384545819114763," "
0.0125767439977307,0.0125767439977307,1.42550400133586e-12,0.000558901164790037,2.69659952876183e-12,"causal"
0.279197405657778,0.279197405657778,7.06424033487082e-26,0.000101465495361081,0.0174305649275354," "
0.388241346228446,0.388241346228446,1.28410644031472e-27,0.00513318979901578,0.000272507400176148," "
0.00525006978813537,0.00525006978813537,7.0993431859748e-48,0.000753296615023586,3.83998675274527e-35,"causal"
0.0037916307099724,0.0037916307099724,5.95130562724338e-58,0.00150996411028321,4.37600540489889e-55,"causal"
0.216747712313122,0.0656554147979755,2.52765720710828e-62,0.216747712313122,4.68098744509631e-40," "
0.00378148068258667,0.0013656061679476,6.66005361661251e-69,0.00378148068258667,3.38028198335174e-48,"causal"
0.990825525757149,0.530121650824815,0.00338893774450556,6.18096694546936e-05,0.990825525757149," "
0.222347677226252,0.222347677226252,5.80481212350992e-07,7.79296774888981e-07,4.69022678128536e-13," "
0.0952339895677562,0.0952339895677562,2.99299730945539e-16,0.000314670151391635,1.88649695572563e-18," "
0.0267480855414862,0.0267480855414862,1.98108664697371e-17,0.000269809603860518,1.33933698083251e-22,"causal"
0.037833697648687,0.037833697648687,5.05753465508068e-26,3.61053177474477e-08,1.86742352337264e-09,"causal"
0.156824331123522,0.000314302472406359,7.78325285972729e-35,0.156824331123522,1.01622396123293e-14," "
0.0145730774835836,0.0145730774835836,1.11654672936002e-43,2.19064018831986e-05,2.40025213696956e-24,"causal"
0.00399596502126978,0.00399596502126978,6.16917627978297e-65,5.74408729499136e-05,2.76597569213206e-29,"causal"
0.110561931297908,0.0279299447007675,7.34756911697318e-54,0.110561931297908,1.22246904591285e-40," "
0.0502793701573959,2.149303410804e-06,1.11640621652105e-103,0.0502793701573959,4.90250364626085e-60," "
0.556875464523063,0.556875464523063,0.389085123944827,2.45230655095149e-10,0.2000525568479," "
0.0560645283253178,0.0560645283253178,2.36639606251763e-05,1.49104223871712e-05,4.03097700973288e-06," "
0.0861672188474715,0.0861672188474715,8.66562502252805e-11,4.91528342746724e-07,1.14997398788332e-20," "
