parameters,p_cit,p_TL,p_TG,p_GL,p_Lind,p_res,1,2,3,4,5,6,results
0.3_0.6,0.885277766937954,2.21493604083167e-24,0.885277766937954,1.13127958003476e-06,0.390884328280995, ,0.0,0.0,0.109234236,0.1249239,0.0100153545,0.012123463,causal
0.3_0.7,0.460301821168683,1.2952667216418999e-27,0.460301821168683,2.85495056246812e-05,0.245209874841151, ,0.0,0.0,0.14168702,0.13562961,0.01267531,0.010946634, 
0.3_0.8,0.927385475399537,1.06115057519767e-35,0.152827012514277,4.20341348047177e-06,0.927385475399537, ,0.0,0.0,0.20172441,0.19831778,0.016453931,0.016629912, 
0.3_0.9,0.997765337404834,2.25177154680494e-46,0.0025321323382231,7.03403010036448e-10,0.997765337404834, ,0.0,0.0,0.25280002,0.2375545,0.017056162,0.017968623, 
0.3_1,0.996904500328045,5.798809431038479e-50,0.0136854446585558,1.58510270697368e-07,0.996904500328045, ,0.0,0.0,0.26139146,0.25080022,0.016996348,0.018137641, 
0.3_3,0.951488340364987,2.41196668884597e-273,0.951488340364987,0.0043239312370011,0.43421028880143, ,0.0,0.0,2.5398796,2.5044985,0.09900836,0.10750323, 
0.4_0,0.960807996242165,0.177430231030147,0.960807996242165,8.9208217681651e-08,0.353045885732601, ,0.0,0.04,0.011342764,0.015953612,0.002899972,0.003879104,causal
0.4_0.1,0.950943431756795,0.871550122342248,0.950943431756795,3.77532080952629e-12,0.415996285844831, ,0.0,0.16,0.01035391,0.012944167,0.0028627885,0.004007677, 
0.4_0.2,0.999916609361379,4.77459577260075e-06,0.999916609361379,1.18498293136168e-13,0.47779624608644, ,0.0,0.0,0.034967326,0.028194122,0.0059919567,0.005193042, 
0.4_0.3,0.134805759819075,1.02186064013834e-10,0.134805759819075,1.22357075580841e-07,0.0831107686028911, ,0.0,0.0,0.045091547,0.051859714,0.0073207538,0.007914017,causal
0.4_0.4,0.982023232519642,5.516333067038339e-11,0.101986540044045,1.66012884130638e-10,0.982023232519642, ,0.0,0.0,0.059028223,0.06067131,0.007865042,0.0073015215,causal
0.4_0.5,0.849459157254585,1.14136922529992e-16,0.849459157254585,7.042953981057101e-10,0.473246582604235, ,0.0,0.0,0.07666402,0.0725439,0.008358814,0.008211222, 
0.4_0.6,0.948221852221649,1.39197056356362e-17,0.103463291020335,3.01410788856704e-10,0.948221852221649, ,0.0,0.0,0.08596016,0.07935705,0.009117561,0.008850953, 
0.4_0.7,0.0463467091355838,1.18641233128452e-23,0.015513249593544,6.44280206799817e-05,0.0463467091355838,causal,0.0,0.0,0.10158028,0.11011906,0.009806319,0.010800274,causal
0.4_0.8,0.798376003955842,4.19757189961037e-28,0.507013479201334,2.9194559452971403e-14,0.798376003955842, ,0.0,0.0,0.15361595,0.12765855,0.01330042,0.011840422, 
0.4_0.9,0.560585504597011,5.467642245720499e-43,0.560585504597011,4.87767889415481e-08,0.280939262566477, ,0.0,0.0,0.2183941,0.2199757,0.018046219,0.016111169,causal
0.4_1,0.821883116188773,1.28557676779536e-52,0.821883116188773,4.31166253394543e-08,0.39077628454296, ,0.0,0.0,0.27266058,0.26700574,0.017595075,0.019657519, 
0.4_3,0.386399925345123,1.54741534040144e-263,0.386399925345123,0.0024394246559413,0.259122650541842, ,0.0,0.0,2.473124,2.2266903,0.09259537,0.094713695, 
0.5_0,0.730474160777685,0.123964230707352,0.495566272995126,1.32201917876963e-13,0.730474160777685, ,0.0,0.24,0.009916907,0.01022631,0.0027568284,0.003124755, 
0.5_0.1,0.479692714630991,0.126919804087125,0.479692714630991,1.89547065842791e-18,0.360156633553309, ,0.0,0.29,0.013656088,0.0070814644,0.004076991,0.0022422485, 
0.5_0.2,0.586910388576339,0.0041583616680806,0.546980440701271,5.80650310658874e-18,0.586910388576339, ,0.0,0.0,0.029210703,0.029773153,0.006690086,0.006456958,causal
0.5_0.3,0.705872105796931,1.30410713890232e-05,0.705872105796931,3.0573528104539103e-15,0.266734567606937, ,0.0,0.0,0.023872444,0.025578938,0.004936107,0.0043648845,causal
0.5_0.4,0.988330003265134,6.677981255191179e-11,0.988330003265134,1.0404211154032e-12,0.473502352350774, ,0.0,0.0,0.05397883,0.05027633,0.0068965484,0.0073397057, 
0.5_0.5,0.924970725281958,2.3839873418550803e-19,0.151500545084782,1.94690352825134e-19,0.924970725281958, ,0.0,0.0,0.109247774,0.09407384,0.01153366,0.009173492, 
0.5_0.6,0.371180386662987,5.8032076865590195e-28,0.371180386662987,1.28351730857056e-13,0.210466157805214, ,0.0,0.0,0.15388153,0.14823708,0.015689382,0.0141284205, 
0.5_0.7,0.736975343245178,5.61539317888766e-32,0.736975343245178,4.92027402155184e-16,0.356472075828927, ,0.0,0.0,0.15446983,0.1408936,0.013738197,0.013491772, 
0.5_0.8,0.889515177277744,1.11688718382217e-32,0.889515177277744,2.5458987351074997e-13,0.500948400269922, ,0.0,0.0,0.16768093,0.1700819,0.013303479,0.013786244,causal
0.5_0.9,0.711887396646026,4.5406810719887504e-39,0.515550647583167,4.40391719509471e-15,0.711887396646026, ,0.0,0.0,0.204872,0.20280863,0.01500727,0.015821895, 
0.5_1,0.804922919669904,1.95407104522653e-51,0.804922919669904,2.20454185657864e-13,0.510249876387104, ,0.0,0.0,0.26533416,0.26122224,0.017894447,0.019062622, 
0.5_3,0.745145831300451,1.36829841574663e-267,0.30334334010022,3.4265220946932e-06,0.745145831300451, ,0.0,0.0,2.6363263,2.4245617,0.09664998,0.10032888, 
0.6_0,0.679883859394551,0.679883859394551,0.330956475343745,3.81730542658653e-20,0.112712963823007, ,0.0,0.74,0.02764897,0.011187922,0.005434478,0.0033458385, 
0.6_0.1,0.967307933873414,0.0002841137169716,0.967307933873414,1.01826408082666e-17,0.497781396861486, ,0.0,0.0,0.018128973,0.021198368,0.0041404366,0.0038932853,causal
0.6_0.2,0.51729709565337,1.24037661631077e-05,0.51729709565337,3.79821277068057e-13,0.362950836747638, ,0.0,0.0,0.02870007,0.02346323,0.0053793043,0.00518052, 
0.6_0.3,0.676407707783303,1.4864853520218801e-09,0.512632627863715,1.21555192879567e-21,0.676407707783303, ,0.0,0.0,0.057726935,0.053478587,0.008468699,0.007125444, 
0.6_0.4,0.780980011285779,4.61108461750385e-09,0.780980011285779,1.45432181236319e-17,0.554356057272479, ,0.0,0.0,0.044179562,0.031419232,0.0061898245,0.004974972, 
0.6_0.5,0.753916143282215,6.11499659343402e-23,0.753916143282215,1.03888617826751e-24,0.628511503802147, ,0.0,0.0,0.11350539,0.10986637,0.01195677,0.011922426, 
0.6_0.6,0.543973098074535,1.9353838378062998e-19,0.543973098074535,2.5105486243073703e-21,0.262797907025431, ,0.0,0.0,0.0907226,0.10635206,0.011365949,0.012073234,causal
0.6_0.7,0.0918024234679849,2.9428710196894896e-30,0.0918024234679849,3.84142762194631e-10,0.0782688914133051, ,0.0,0.0,0.14741649,0.15178987,0.013909324,0.011264849,causal
0.6_0.8,0.626376843816051,8.865012296107559e-42,0.590370619427844,9.87361094317534e-22,0.626376843816051, ,0.0,0.0,0.22546637,0.20587282,0.01777192,0.014457325, 
0.6_0.9,0.881511571875267,2.15663138123457e-35,0.101220768650333,1.14647168610382e-14,0.881511571875267, ,0.0,0.0,0.19401258,0.16790214,0.017336529,0.014631357, 
0.6_1,0.79774811780451,3.80581777523801e-49,0.79774811780451,3.06702254518215e-22,0.343222235262524, ,0.0,0.0,0.26978138,0.2592371,0.020106664,0.017972348, 
0.6_3,0.685312156546601,5.22019735673175e-260,0.685312156546601,5.07693508275334e-10,0.611593117533288, ,0.0,0.0,2.3684182,2.1933463,0.09926195,0.08120012, 
0.7_0,0.779970842972898,0.294511856403914,0.779970842972898,6.24323815579058e-31,0.685276717338299, ,0.0,0.47,0.008972491,0.01676397,0.003416948,0.0047480026, 
0.7_0.1,0.649891545336628,0.0002629487411402,0.649891545336628,4.95266567456196e-27,0.409055098069479, ,0.0,0.0,0.017100507,0.020004116,0.0036364992,0.0047346447,causal
0.7_0.2,0.744734922804953,0.0001743120084747,0.744734922804953,7.50391888400583e-29,0.325374721275211, ,0.0,0.0,0.025383284,0.026776176,0.0044656917,0.0046017636,causal
0.7_0.3,0.698479596583362,8.9948927429162e-11,0.698479596583362,1.0440492805805899e-30,0.665170299584728, ,0.0,0.0,0.06720912,0.04635094,0.008681909,0.0069459723, 
0.7_0.4,0.978150324975211,8.011103683598909e-11,0.0645176943585817,2.0646009539010202e-23,0.978150324975211, ,0.0,0.0,0.053170864,0.07067708,0.0068080174,0.009824905,causal
0.7_0.5,0.816589724101858,2.23234214995483e-15,0.816589724101858,2.75002086002737e-35,0.584258432297579, ,0.0,0.0,0.087454684,0.07473621,0.009966836,0.00886573, 
0.7_0.6,0.588291442873291,5.117152485740729e-22,0.588291442873291,4.58402244707897e-25,0.349431298792236, ,0.0,0.0,0.104493424,0.12609915,0.011504432,0.012809261,causal
0.7_0.7,0.303666888369841,1.29286352591749e-27,0.303666888369841,3.98905281932399e-24,0.171640974586954, ,0.0,0.0,0.13473001,0.15058999,0.0125822015,0.014198228,causal
0.7_0.8,0.816509478260485,2.49039941748048e-30,0.816509478260485,1.75936993229202e-23,0.604429195188248, ,0.0,0.0,0.15006843,0.1890107,0.014262355,0.018329002,causal
0.7_0.9,0.891307804032521,1.22018270200465e-44,0.891307804032521,1.36987107120978e-19,0.537862008867496, ,0.0,0.0,0.25379238,0.2297834,0.020063948,0.017115382, 
0.7_1,0.815198343760248,6.89958047800084e-43,0.815198343760248,5.79437779188358e-24,0.626866351728506, ,0.0,0.0,0.25749925,0.26628777,0.017585946,0.01906283,causal
0.7_3,0.729307295635557,7.219199497501071e-264,0.729307295635557,4.729184042099971e-09,0.416538474353704, ,0.0,0.0,2.4007583,2.3262486,0.092935584,0.0948026, 
0.8_0,0.978221350609702,0.146855440047806,0.0568843443028678,1.7217821373143002e-32,0.978221350609702, ,0.0,0.16,0.015203004,0.009666692,0.0032058954,0.002940478, 
0.8_0.1,0.287495558413641,0.0103212022264279,0.287495558413641,1.25999687348678e-33,0.158973719498967, ,0.0,0.01,0.013316884,0.028376054,0.003506132,0.0045416486,causal
0.8_0.2,0.703801638669712,0.0009430930737226,0.703801638669712,7.68144598822471e-34,0.565881857584467, ,0.0,0.02,0.019856147,0.018596567,0.0037717284,0.00493948, 
0.8_0.3,0.772399109826788,0.004626000696545,0.772399109826788,2.1459903512345e-29,0.434598593646391, ,0.0,0.0,0.016876979,0.01868353,0.004501889,0.003908064,causal
0.8_0.4,0.901791594413828,8.64450893090425e-10,0.214812369889101,1.67304284130308e-36,0.901791594413828, ,0.0,0.0,0.06468096,0.052219674,0.008865248,0.007554148, 
0.8_0.5,0.766470687751915,7.11915362902944e-14,0.766470687751915,1.2362808040645701e-31,0.588759930264887, ,0.0,0.0,0.077988856,0.06953454,0.00983394,0.008577091, 
0.8_0.6,0.201108673055825,1.17417198400956e-15,0.201108673055825,3.10390424838771e-36,0.114667244390982, ,0.0,0.0,0.06573193,0.0693416,0.008324832,0.00754765,causal
0.8_0.7,0.773595322464841,1.0543570653032e-30,0.773595322464841,4.56451714235826e-35,0.343889045812333, ,0.0,0.0,0.15260674,0.17248623,0.013009307,0.015044155,causal
0.8_0.8,0.907238237797501,2.1562828416665e-31,0.111686318984792,8.048023855827111e-35,0.907238237797501, ,0.0,0.0,0.17731944,0.15184325,0.015441727,0.017695287, 
0.8_0.9,0.267296974985478,2.03634017966035e-47,0.267296974985478,1.6282910489152e-23,0.132110621725092, ,0.0,0.0,0.21693854,0.23467964,0.01642188,0.016772885,causal
0.8_1,0.169425149576687,9.86005213325141e-56,0.164780131751183,3.5607585652893404e-24,0.169425149576687, ,0.0,0.0,0.27245554,0.31753102,0.019214692,0.022568226,causal
0.8_3,0.912229828807189,3.25156328010864e-249,0.912229828807189,2.70792920501605e-12,0.47501068518255, ,0.0,0.0,2.2051058,2.0459406,0.09090804,0.07404673, 
0.9_0,0.928150814720034,0.808106486379107,0.111395224955518,4.0444225686390996e-41,0.928150814720034, ,0.0,0.31,0.015520209,0.0087144915,0.0037686499,0.0027094346, 
0.9_0.1,0.855848798610186,0.579081519876201,0.307308606974987,3.15498061282441e-44,0.855848798610186, ,0.0,0.9,0.01375373,0.020843932,0.003171647,0.006556686, 
0.9_0.2,0.362352497106965,2.70793890065005e-06,0.362352497106965,2.3420224060646e-30,0.167288023709503, ,0.0,0.0,0.029895017,0.031260643,0.0056501077,0.00539226,causal
0.9_0.3,0.763252710854717,6.16470554986986e-08,0.763252710854717,3.0814898314607997e-42,0.606562473266637, ,0.0,0.0,0.0505827,0.035845958,0.0065172394,0.006462587, 
0.9_0.4,0.703723588640588,1.13236750112694e-08,0.621281980212725,1.6358452546140999e-49,0.703723588640588, ,0.0,0.0,0.04062385,0.040210128,0.005836949,0.0059980056, 
0.9_0.5,0.589474461330285,8.77994763399146e-13,0.589474461330285,5.5505942723886796e-36,0.332333697153301, ,0.0,0.0,0.06916028,0.06874835,0.008317738,0.008246561, 
0.9_0.6,0.772968547104492,1.17422592635902e-19,0.342751563993508,1.8734852356096599e-34,0.772968547104492, ,0.0,0.0,0.0933871,0.10999686,0.008787616,0.010837215,causal
0.9_0.7,0.93954204913361,1.9024679264051402e-25,0.0981874984646633,3.6864395336498e-46,0.93954204913361, ,0.0,0.0,0.13041396,0.13761583,0.011132906,0.014008108,causal
0.9_0.8,0.381181756192622,2.3722123050608802e-39,0.381181756192622,1.09374647720241e-36,0.212691973554609, ,0.0,0.0,0.21674755,0.29260966,0.016797213,0.02058117,causal
0.9_0.9,0.768934486520208,1.35171591943548e-40,0.768934486520208,1.1471434037811601e-35,0.627894594252915, ,0.0,0.0,0.1970364,0.21281193,0.016067298,0.017063554,causal
0.9_1,0.642093869514757,3.16305047413313e-61,0.642093869514757,2.28374162982047e-41,0.281595343782894, ,0.0,0.0,0.30223277,0.32964134,0.017252492,0.024189591,causal
0.9_3,0.114283046529317,1.68981788371169e-263,0.0254059672517534,1.99043786565454e-08,0.114283046529317, ,0.0,0.0,2.324133,2.288076,0.08210753,0.086697266, 
1_0,0.344173395803305,0.344173395803305,0.238978636127939,9.466644896215611e-52,0.0956885657435553, ,0.0,0.57,0.019356,0.00752339,0.005691906,0.0032145022, 
1_0.1,0.724713290338279,0.0012762528378258,0.667228846473333,2.12143900848289e-54,0.724713290338279, ,0.0,0.0,0.01683189,0.062630005,0.0037339316,0.012934806,causal
1_0.2,0.764246445730681,1.86890245499153e-07,0.479858796182053,5.43409640526176e-63,0.764246445730681, ,0.0,0.0,0.044482727,0.032647703,0.0069317184,0.0052557685, 
1_0.3,0.0813006702668849,5.72288371037884e-05,0.0813006702668849,1.18088188956453e-43,0.0386475938107401, ,0.0,0.0,0.016100027,0.028211199,0.0034906836,0.0046966895,causal
1_0.4,0.934366033620699,2.98065100402269e-08,0.934366033620699,2.79925888465303e-55,0.506461029033654, ,0.0,0.0,0.079005614,0.05080271,0.011022571,0.007262477, 
1_0.5,0.951402485059171,1.87900846598657e-16,0.0871211852409956,3.05137134244463e-49,0.951402485059171, ,0.0,0.0,0.102926224,0.07647844,0.009688327,0.008817702, 
1_0.6,0.260704172079413,1.34397875465523e-17,0.260704172079413,7.48965839147307e-43,0.102255779370265, ,0.0,0.0,0.079264544,0.11098035,0.010546063,0.009897489,causal
1_0.7,0.768187326359567,2.1123303541540199e-22,0.768187326359567,1.2419755499898699e-48,0.587495251765199, ,0.0,0.0,0.097367905,0.12597536,0.010239055,0.011649488,causal
1_0.8,0.535352681910896,3.19675818353438e-35,0.535352681910896,1.84387326961794e-53,0.307522000200118, ,0.0,0.0,0.1677462,0.16421479,0.013866225,0.013100891, 
1_0.9,0.866040168751982,6.44486216603259e-40,0.866040168751982,2.97340117507578e-50,0.415144507051926, ,0.0,0.0,0.18681842,0.16837285,0.015544094,0.013268919, 
1_1,0.71151650306315,2.90378823889768e-45,0.608948009171803,2.05722702161297e-32,0.71151650306315, ,0.0,0.0,0.22211166,0.25527284,0.0151461335,0.01934682,causal
1_3,0.70226966143423,1.3488615353052501e-264,0.70226966143423,9.214050355072619e-18,0.368253948016284, ,0.0,0.0,2.4808967,2.3259866,0.09839812,0.096360974, 
3_0,0.96984173193266,0.670305886328847,0.96984173193266,1.28147789817218e-256,0.32512102054632, ,0.0,0.76,0.02006527,0.045686506,0.0039434964,0.008814051, 
3_0.1,0.990088692766712,0.130680709928196,0.990088692766712,6.50865991744412e-284,0.453803868940957, ,0.0,0.34,0.027816704,0.012313558,0.0055659814,0.0030806393, 
3_0.2,0.781768837273601,0.0003741741596057,0.50308640092641,5.43991996713062e-266,0.781768837273601, ,0.0,0.0,0.034784246,0.19258076,0.0062095406,0.027401205,causal
3_0.3,0.855983315821774,1.93391808842434e-07,0.212832773217935,8.312188217187069e-246,0.855983315821774, ,0.0,0.0,0.067119285,0.07887654,0.0069321417,0.010327796,causal
3_0.4,0.896155535978192,3.962714186069131e-09,0.896155535978192,1.51645826259852e-248,0.607341816843258, ,0.0,0.0,0.09371266,0.07510022,0.0113604665,0.0083007105, 
3_0.5,0.71286759657584,3.43450530130113e-18,0.457603455982018,4.30568675339946e-243,0.71286759657584, ,0.0,0.0,0.100747645,0.10565332,0.014324772,0.01189889,causal
3_0.6,0.711089920204715,1.19646030927554e-25,0.711089920204715,1.4801649591634101e-233,0.404339993873871, ,0.0,0.0,0.06960173,0.20092565,0.009383062,0.021476373,causal
3_0.7,0.693342786276621,1.11371360857308e-29,0.581055151755845,6.01530403877753e-232,0.693342786276621, ,0.0,0.0,0.17360987,0.12655722,0.017147856,0.012015153, 
3_0.8,0.788439810460613,1.39001127453132e-31,0.788439810460613,6.37439768319392e-221,0.601401052217537, ,0.0,0.0,0.09011375,0.08787696,0.009336922,0.009053663, 
3_0.9,0.734261886453106,3.52530992092792e-53,0.418877404399101,1.74785344696554e-227,0.734261886453106, ,0.0,0.0,0.30412814,0.369769,0.019070193,0.027712889,causal
3_1,0.951676819960947,9.99072273469892e-51,0.0519871999418948,5.08699303594879e-241,0.951676819960947, ,0.0,0.0,0.5434646,0.1520954,0.038568515,0.014028264, 
3_3,0.963900855705228,2.31553086116399e-273,0.963900855705228,1.68183931197012e-111,0.504130201406452, ,0.0,0.0,2.505283,2.2007668,0.095987886,0.074143484, 
