parameters,p_cit,p_TL,p_TG,p_GL,p_Lind,p_res,p_L->A,p_L->B,mean_true,mean_shuffle,std_true,std_shuffle,final_call
0.1_0.1,0.765758359803175,0.202504636768642,0.000324487904141,0.765758359803175,0.0634608654004253, ,0.75,0.49,0.003420068,0.017944789,0.0015087278,0.00395884, 
0.1_0.2,0.896573313036237,0.896573313036237,4.28746922944456e-06,0.454989714662154,2.7889812751582597e-11, ,0.71,0.11,0.012311024,0.010402394,0.0031903123,0.0031893093, 
0.1_0.3,0.78316496752368,0.698874433222208,1.02422994223406e-26,0.0119259194008057,0.78316496752368, ,0.02,0.63,0.01822401,0.004712492,0.004493769,0.0017545075, 
0.1_0.4,0.162479381105587,0.107597369554233,1.33680474519271e-38,0.162479381105587,2.26633882401232e-14, ,0.15,0.2,0.0080897845,0.011952931,0.002384948,0.0030691142, 
0.1_0.5,0.999998987466136,0.870693782587288,7.94669041010049e-40,0.176670379745841,0.999998987466136, ,0.17,0.98,0.013357155,0.012042459,0.0033165861,0.0035315268, 
0.1_0.6,0.999220743540071,0.560851253773817,6.348428657204809e-78,0.0146472453686781,0.999220743540071, ,0.0,0.81,0.0062411535,0.011891994,0.00177588,0.004011411, 
0.1_0.7,0.529405498392078,0.0745454828583819,4.1104731098511496e-83,0.529405498392078,1.36244981253015e-20, ,0.08,0.03,0.016348297,0.017622102,0.004471136,0.0041487534, 
0.1_0.8,0.205384052640206,0.156450677865464,1.05730072079168e-112,0.205384052640206,5.80433299501113e-89, ,0.15,0.3,0.0070337844,0.011051633,0.001969907,0.002615166, 
0.1_0.9,1.0,0.117206385926544,1.60886769053979e-120,0.0596404549668949,1.0, ,0.93,0.22,0.012612308,0.009346122,0.0031243756,0.0026439235, 
0.1_1,0.402621557179169,0.0072183005705723,1.93763057182352e-156,0.402621557179169,2.0501193651163798e-57, ,0.04,0.01,0.017012333,0.025461473,0.0037376925,0.0049019028,causal
0.1_3,0.9552481967461,0.527456467559112,0.0,0.9552481967461,1.42271823867542e-58, ,0.82,0.83,0.006562991,0.0030252957,0.002504877,0.0014759477, 
0.2_0.1,0.166426154101734,0.166426154101734,0.0001498635346766,5.33661286168139e-07,0.0011960835869398, ,0.0,0.15,0.010729033,0.011168751,0.0030128723,0.0032977478, 
0.2_0.2,0.996557015448845,0.759026595222946,2.64607967737791e-09,1.84100733298277e-05,0.996557015448845, ,0.0,0.77,0.008676458,0.012161539,0.0027127312,0.0029082766, 
0.2_0.3,0.286541432104059,0.286541432104059,1.8820854306145498e-22,0.0239440247587213,3.12097964803079e-27, ,0.07,0.32,0.0069397665,0.011222651,0.0027291393,0.0031957321, 
0.2_0.4,0.124391013295403,0.124391013295403,2.83863813391547e-38,0.0086765477634775,9.559303559358261e-47, ,0.02,0.32,0.006196579,0.011305582,0.0022341323,0.0029889154, 
0.2_0.5,0.310393272823544,0.310393272823544,2.22167935990639e-59,0.0408363080511076,1.33596966313029e-89, ,0.02,0.53,0.005884315,0.0069538094,0.0019139957,0.0024394204, 
0.2_0.6,0.0965520979688159,0.0965520979688159,5.78977290345969e-65,4.60899013071479e-05,1.10286264652831e-10, ,0.0,0.22,0.012510557,0.008411794,0.0031674854,0.0025042521, 
